frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16,  0,  0.500,  0.93,  1, 0.00, 0.00, 1.51, 0.25, 2.07, 3.26, 0.28, 2.35, 1.34, 1.36, 0.26, 0.00, 0.05, 0.00, 1.67, 0.06, 0.09, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
17,  0,  0.533,  0.98,  1, 0.00, 0.00, 1.55, 0.28, 2.10, 3.40, 0.18, 2.36, 1.35, 1.45, 0.24, 0.00, 0.05, 0.00, 1.72, 0.07, 0.06, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
18,  0,  0.567,  0.98,  1, 0.00, 0.00, 1.58, 0.31, 2.08, 3.53, 0.21, 2.36, 1.38, 1.48, 0.24, 0.00, 0.05, 0.00, 1.77, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
19,  0,  0.600,  0.93,  1, 0.00, 0.00, 1.54, 0.18, 2.05, 3.48, 0.16, 2.29, 1.36, 1.56, 0.27, 0.00, 0.00, 0.00, 1.73, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
20,  0,  0.633,  0.98,  1, 0.00, 0.00, 1.57, 0.16, 2.03, 3.37, 0.10, 2.26, 1.37, 1.46, 0.26, 0.00, 0.00, 0.00, 1.80, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
21,  0,  0.667,  0.93,  1, 0.00, 0.00, 1.49, 0.03, 2.09, 3.28, 0.04, 2.30, 1.29, 1.41, 0.20, 0.00, 0.00, 0.00, 1.62, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
22,  0,  0.700,  0.98,  1, 0.00, 0.00, 1.56, 0.03, 2.13, 3.24, 0.07, 2.26, 1.31, 1.25, 0.11, 0.00, 0.00, 0.00, 1.80, 0.17, 0.01, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
23,  0,  0.733,  0.93,  1, 0.00, 0.00, 1.51, 0.06, 2.12, 3.21, 0.04, 2.25, 1.27, 1.35, 0.21, 0.00, 0.00, 0.00, 1.66, 0.08, 0.07, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
24,  0,  0.767,  0.98,  1, 0.00, 0.00, 1.59, 0.04, 2.09, 3.13, 0.07, 2.13, 1.28, 1.41, 0.30, 0.00, 0.00, 0.00, 1.77, 0.11, 0.09, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
25,  0,  0.800,  0.93,  1, 0.00, 0.00, 1.54, 0.04, 2.03, 3.20, 0.04, 2.18, 1.26, 1.60, 0.42, 0.00, 0.00, 0.00, 1.65, 0.03, 0.12, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
26,  0,  0.833,  0.88,  1, 0.00, 0.00, 1.53, 0.00, 2.06, 2.96, 0.04, 2.18, 1.34, 1.44, 0.38, 0.00, 0.00, 0.00, 1.87, 0.12, 0.05, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
27,  0,  0.867,  0.98,  1, 0.00, 0.00, 1.50, 0.00, 2.05, 2.75, 0.03, 2.25, 1.38, 1.42, 0.32, 0.00, 0.00, 0.00, 1.92, 0.12, 0.04, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
28,  0,  0.900,  0.98,  1, 0.00, 0.00, 1.53, 0.00, 2.08, 2.75, 0.06, 2.18, 1.39, 1.25, 0.27, 0.00, 0.00, 0.00, 2.08, 0.20, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
29,  0,  0.933,  0.93,  1, 0.00, 0.13, 1.54, 0.10, 2.04, 3.06, 0.06, 2.35, 1.37, 1.36, 0.29, 0.00, 0.00, 0.00, 1.93, 0.11, 0.01, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
30,  0,  0.967,  0.98,  1, 0.10, 0.30, 1.54, 0.10, 2.03, 3.32, 0.08, 2.35, 1.38, 1.31, 0.40, 0.00, 0.00, 0.00, 1.91, 0.15, 0.02, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
31,  0,  1.000,  0.93,  1, 0.13, 0.36, 1.56, 0.16, 2.01, 3.21, 0.04, 2.58, 1.40, 1.31, 0.45, 0.00, 0.00, 0.00, 1.81, 0.08, 0.02, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
32,  0,  1.033,  0.98,  1, 0.17, 0.34, 1.63, 0.06, 2.02, 2.97, 0.08, 2.41, 1.36, 1.27, 0.36, 0.00, 0.00, 0.00, 1.87, 0.18, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
33,  0,  1.067,  0.93,  1, 0.11, 0.18, 1.59, 0.06, 2.08, 2.94, 0.04, 2.53, 1.43, 1.21, 0.31, 0.00, 0.00, 0.00, 1.77, 0.10, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
34,  0,  1.100,  0.98,  1, 0.30, 0.38, 1.56, 0.00, 1.95, 2.85, 0.12, 2.33, 1.48, 1.24, 0.21, 0.00, 0.00, 0.00, 2.05, 0.17, 0.62, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
35,  0,  1.133,  0.98,  1, 0.41, 0.60, 1.40, 0.00, 1.87, 2.94, 0.08, 2.29, 1.51, 1.15, 0.17, 0.00, 0.00, 0.00, 2.10, 0.07, 1.24, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
36,  0,  1.167,  0.88,  1, 0.66, 0.75, 1.51, 0.00, 1.70, 2.93, 0.12, 2.18, 1.48, 1.33, 0.06, 0.00, 0.00, 0.00, 2.38, 0.16, 1.65, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
