AU,mean,std,min,max,cv
AU09_r,0.07704819117268472,0.03423884326388672,0.04478538630465163,0.1244490859052487,0.44438218136943297
AU07_r,2.5360918981187925,1.0141340367406648,1.107391881265972,3.3591339628208905,0.3998806342518279
AU04_r,1.3299536201644229,0.5087159803153033,0.6436810268515787,1.8600668370355808,0.3825065570725771
AU26_r,0.5176196273911121,0.17380992411263976,0.3340816530245558,0.7509873206211913,0.3357869657854172
AU45_r,0.22187590706249796,0.06546715277003548,0.1332691173579713,0.2894290277500499,0.29506201748887817
AU12_r,0.7978450962085509,0.22725794509122144,0.5449144290351134,1.0960335168075488,0.2848396840078063
AU01_r,0.16345445942231307,0.032248092033928435,0.1332681344603892,0.2081533392347792,0.19729098947744136
AU25_r,0.46356950969339156,0.07574268425629282,0.3591910752899548,0.5365983082521883,0.16339013389036225
AU14_r,1.1000200192341534,0.16208350824441736,0.9276076272852368,1.317039329207427,0.14734596226463384
AU02_r,0.08492924642265949,0.010961026412317287,0.07451592294082957,0.10008016130618667,0.1290606813790454
AU23_r,0.1556625168036365,0.017200832834785615,0.13135356358554603,0.1685974230353103,0.11050080127179197
AU15_r,0.15651932928587556,0.016776873171551625,0.1356315116964812,0.17670846857480085,0.10718722887515966
AU20_r,0.11387191176575091,0.011686437059413392,0.10085945298462767,0.12920232123536932,0.10262791656167052
AU05_r,0.06512147699571913,0.0061476020732990945,0.05643641445398284,0.06980574407396478,0.09440206759596712
AU10_r,1.9755163234802537,0.16200618658154756,1.7800875381135046,2.176790839394535,0.08200700984142836
AU06_r,2.035931648211834,0.14981946330582274,1.8750373758237433,2.235767151562807,0.07358766854349442
AU17_r,0.4435422963733548,0.03194127524726466,0.39993709455474735,0.4755579956079058,0.07201404580450174
