AU,importance
AU04_r,0.13028061224489795
AU10_r,0.12228134110787171
AU12_r,0.08983236151603499
AU20_r,0.07271865889212828
AU09_r,0.06221574344023324
AU07_r,0.06034256559766764
AU45_r,0.05776967930029154
AU06_r,0.055021865889212825
AU23_r,0.05309766763848396
AU17_r,0.04681486880466472
AU25_r,0.045
AU01_r,0.04256559766763849
AU14_r,0.040433673469387754
AU05_r,0.04040816326530612
AU15_r,0.02860787172011662
AU02_r,0.027696793002915453
AU26_r,0.024912536443148683
