AU,mean,std,min,max,cv
AU04_r,0.5551007659569885,0.4313635151971858,0.11280230326295584,1.2034147680483118,0.7770904701482786
AU07_r,1.2575192277567644,0.9730743136696295,0.42494104716227016,2.8917897337359317,0.7738047197937926
AU10_r,0.9622638742734022,0.7047752076158862,0.33539768185451635,2.0901894043370848,0.7324136616352311
AU12_r,0.698960543288693,0.5071598811876354,0.12668565147881694,1.4770496298327394,0.7255915745993151
AU14_r,0.8740433640149227,0.6027580459882121,0.23746802557953642,1.712443041449355,0.6896202989511183
AU06_r,1.1555686425764673,0.6881064425100046,0.16822342126298961,1.9319873730441945,0.5954699852150676
AU09_r,0.052873100069878075,0.023630808538066282,0.032807753796962436,0.09319440636139292,0.4469344242504291
AU17_r,0.29675134438368156,0.09291336786627805,0.21904276578737014,0.4546723334247326,0.31310175884543484
AU15_r,0.1031658637158252,0.023796461346702234,0.07790557233049684,0.1383383602961338,0.23066216371968357
AU25_r,0.32392770597789156,0.05976700271216066,0.27132739668846534,0.42167366107114307,0.18450722679535114
AU05_r,0.04659846882290219,0.008201292847230856,0.03941531704639034,0.05982329205509948,0.17599919169876435
AU01_r,0.13068317796685838,0.02268479363920094,0.10523381294964027,0.16586604446884437,0.17358617989037478
AU45_r,0.18645027245168241,0.027488195997707396,0.14827466258522334,0.2248339280812517,0.1474291007262047
AU02_r,0.06898161545167902,0.007403087147894486,0.05633226659245861,0.07439747460883886,0.10731971264257038
AU26_r,0.34474877201656057,0.03552384944619611,0.288528685149602,0.3804140389361119,0.10304271495560154
AU23_r,0.0755779388179397,0.007702692390801648,0.06619404476418865,0.08551412272158063,0.10191720641332552
AU20_r,0.07358048794979694,0.006703375404251421,0.06822641886490807,0.08488381800473076,0.09110262232597657
