AU,mean,std,min,max,cv
AU12_r,0.595674097152805,0.38055948912598625,0.24516162534077632,1.2154788332472894,0.6388719787296097
AU25_r,0.6535827619856477,0.3931201727319451,0.3117178626742385,1.2900272621056732,0.6014849160611396
AU01_r,0.14139913218718336,0.07790917164951887,0.08179013939081053,0.27491638795986617,0.5509876223736873
AU06_r,1.5592746450900279,0.7770594383109187,0.3073628205128205,2.4142694889003615,0.49834674138888063
AU04_r,1.2292710158035098,0.5941645548437607,0.6118780550553126,2.0101535880227153,0.4833470790453695
AU07_r,2.0663364843211083,0.8460062511714089,1.227776923076923,3.3382904553640342,0.4094232752461722
AU09_r,0.061784320186522856,0.02450382039280633,0.03987609705730512,0.10335000000000001,0.39660257357903894
AU23_r,0.1083184728588281,0.03863900373543068,0.06546979865771813,0.1645948031901209,0.35671665890073107
AU45_r,0.1686347383403343,0.0565203425244738,0.13398076923076924,0.2664985850270131,0.335164291063244
AU20_r,0.12461146365008116,0.038124350366033455,0.07335570469798657,0.16505273990223823,0.305945771354469
AU26_r,0.5919107470263069,0.1645099892461922,0.4118611254517295,0.846124886407893,0.2779303975686739
AU02_r,0.07511142900810405,0.01968500179187173,0.05288719669592154,0.10562258811422691,0.26207731701853043
AU10_r,2.0637703257473348,0.49295416257304436,1.342276923076923,2.685155134363235,0.23886096065197335
AU15_r,0.21956775787504842,0.05017363310995588,0.1623769230769231,0.29986107537947,0.22851093255007268
AU17_r,0.6382759824646829,0.1203059900655617,0.5229109853357345,0.8155822406854473,0.18848584839586766
AU14_r,0.6906375904291209,0.09965413663571926,0.6268150244404426,0.8627762003097574,0.144292951928377
AU05_r,0.04913128768997689,0.005914734427428698,0.04224587822926133,0.05575761486835312,0.1203863099365772
