frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
40,0.65,0.98,0.08,0.11,0.58,0.0,1.27,0.64,0.0,0.27,0.22,0.0,0.02,0.2,0.16,0.0,0.47,0.0,0.6
41,0.667,0.98,0.08,0.11,0.55,0.0,1.28,0.67,0.0,0.25,0.19,0.0,0.02,0.3,0.2,0.0,0.37,0.0,0.57
42,0.683,0.98,0.08,0.2,0.62,0.0,1.32,0.63,0.0,0.24,0.2,0.0,0.0,0.35,0.27,0.0,0.29,0.0,0.63
43,0.7,0.98,0.0,0.12,0.63,0.0,1.37,0.75,0.0,0.24,0.24,0.0,0.0,0.37,0.3,0.0,0.21,0.0,0.58
44,0.717,0.98,0.0,0.11,0.6,0.0,1.35,0.89,0.0,0.32,0.28,0.0,0.0,0.35,0.33,0.0,0.14,0.0,0.36
45,0.733,0.98,0.06,0.06,0.51,0.0,1.36,1.02,0.0,0.38,0.25,0.0,0.0,0.31,0.39,0.0,0.14,0.0,0.22
46,0.75,0.98,0.06,0.2,0.51,0.0,1.41,1.16,0.0,0.38,0.27,0.0,0.0,0.25,0.33,0.0,0.14,0.0,0.11
47,0.767,0.98,0.06,0.23,0.54,0.0,1.39,1.2,0.0,0.36,0.25,0.0,0.0,0.24,0.3,0.0,0.25,0.0,0.1
48,0.783,0.98,0.0,0.35,0.57,0.0,1.43,1.25,0.0,0.35,0.3,0.0,0.0,0.28,0.18,0.0,0.24,0.08,0.04
49,0.8,0.98,0.0,0.28,0.67,0.0,1.4,1.06,0.0,0.45,0.35,0.0,0.0,0.28,0.15,0.0,0.27,0.08,0.09
50,0.817,0.98,0.03,0.46,0.7,0.0,1.46,1.13,0.0,0.44,0.31,0.0,0.0,0.21,0.16,0.0,0.27,0.13,0.07
51,0.833,0.98,0.09,0.48,0.72,0.0,1.44,1.17,0.0,0.43,0.25,0.0,0.0,0.27,0.2,0.0,0.29,0.04,0.07
52,0.85,0.98,0.09,0.43,0.64,0.0,1.45,1.39,0.0,0.37,0.21,0.0,0.0,0.27,0.18,0.0,0.32,0.07,0.0
53,0.867,0.98,0.06,0.25,0.66,0.0,1.46,1.22,0.0,0.37,0.25,0.0,0.0,0.33,0.11,0.0,0.32,0.02,0.02
54,0.883,0.98,0.08,0.21,0.69,0.0,1.51,1.15,0.0,0.38,0.31,0.0,0.0,0.22,0.12,0.0,0.27,0.02,0.3
55,0.9,0.98,0.08,0.18,0.76,0.0,1.51,0.96,0.0,0.35,0.28,0.0,0.0,0.2,0.13,0.0,0.35,0.0,0.75
56,0.917,0.98,0.08,0.22,0.67,0.0,1.48,0.86,0.0,0.28,0.33,0.0,0.0,0.14,0.16,0.0,0.36,0.0,1.01
57,0.933,0.98,0.17,0.15,0.7,0.0,1.4,0.71,0.0,0.23,0.32,0.0,0.0,0.2,0.16,0.0,0.37,0.0,1.15
58,0.95,0.98,0.17,0.27,0.65,0.02,1.41,0.67,0.0,0.14,0.36,0.0,0.0,0.18,0.23,0.0,0.33,0.0,1.05
59,0.967,0.98,0.17,0.31,0.76,0.02,1.37,0.71,0.0,0.15,0.35,0.0,0.0,0.16,0.24,0.0,0.34,0.0,0.97
60,0.983,0.98,0.01,0.29,0.7,0.14,1.38,0.67,0.0,0.13,0.38,0.0,0.0,0.03,0.24,0.0,0.44,0.0,0.86
61,1.0,0.98,0.05,0.22,0.64,0.12,1.38,0.77,0.0,0.15,0.39,0.0,0.0,0.0,0.25,0.0,0.44,0.0,0.91
62,1.017,0.98,0.05,0.1,0.65,0.2,1.41,0.7,0.0,0.15,0.33,0.0,0.0,0.07,0.38,0.0,0.49,0.0,1.0
63,1.033,0.98,0.03,0.15,0.54,0.08,1.4,0.89,0.0,0.19,0.28,0.0,0.0,0.26,0.28,0.0,0.38,0.01,0.97
64,1.05,0.98,0.0,0.11,0.53,0.09,1.39,0.83,0.0,0.23,0.29,0.0,0.0,0.31,0.23,0.0,0.39,0.01,0.83
65,1.067,0.98,0.0,0.11,0.47,0.01,1.4,0.81,0.0,0.25,0.28,0.0,0.0,0.31,0.05,0.0,0.36,0.01,0.76
66,1.083,0.98,0.0,0.02,0.61,0.01,1.38,0.59,0.0,0.22,0.25,0.0,0.0,0.15,0.06,0.0,0.45,0.0,0.66
67,1.1,0.98,0.0,0.01,0.68,0.0,1.38,0.51,0.0,0.24,0.24,0.0,0.0,0.12,0.01,0.0,0.41,0.0,0.5
68,1.117,0.98,0.0,0.01,0.59,0.02,1.37,0.74,0.0,0.24,0.28,0.0,0.0,0.15,0.01,0.0,0.42,0.0,0.27
69,1.133,0.98,0.0,0.0,0.62,0.02,1.39,1.01,0.0,0.3,0.36,0.0,0.02,0.2,0.0,0.0,0.36,0.0,0.18
70,1.15,0.98,0.0,0.05,0.62,0.02,1.36,1.19,0.0,0.36,0.35,0.0,0.02,0.24,0.0,0.0,0.4,0.0,0.07
71,1.167,0.98,0.05,0.12,0.64,0.0,1.3,1.11,0.0,0.42,0.37,0.0,0.06,0.24,0.0,0.0,0.37,0.0,0.07
72,1.183,0.98,0.05,0.27,0.59,0.0,1.3,1.08,0.0,0.44,0.35,0.0,0.04,0.24,0.0,0.0,0.34,0.0,0.0
73,1.2,0.98,0.05,0.21,0.55,0.0,1.3,1.03,0.0,0.46,0.37,0.0,0.04,0.27,0.0,0.0,0.3,0.0,0.0
74,1.217,0.98,0.0,0.23,0.52,0.0,1.29,1.08,0.0,0.46,0.38,0.0,0.0,0.28,0.0,0.0,0.29,0.0,0.0
75,1.233,0.98,0.0,0.08,0.52,0.07,1.24,0.94,0.0,0.43,0.4,0.0,0.0,0.28,0.0,0.0,0.37,0.0,0.0
76,1.25,0.98,0.0,0.16,0.52,0.07,1.2,1.0,0.0,0.39,0.36,0.0,0.0,0.28,0.0,0.0,0.38,0.0,0.0
77,1.267,0.98,0.0,0.24,0.51,0.07,1.26,1.05,0.0,0.41,0.34,0.0,0.0,0.23,0.0,0.0,0.38,0.0,0.0
78,1.283,0.98,0.0,0.29,0.48,0.0,1.18,1.01,0.0,0.46,0.32,0.0,0.0,0.2,0.0,0.0,0.41,0.0,0.0
79,1.3,0.98,0.0,0.21,0.45,0.0,1.17,0.89,0.0,0.49,0.32,0.0,0.0,0.11,0.0,0.0,0.48,0.0,0.0
80,1.317,0.98,0.0,0.19,0.45,0.02,1.09,0.8,0.0,0.47,0.31,0.0,0.0,0.11,0.0,0.0,0.54,0.0,0.0
81,1.333,0.98,0.0,0.25,0.33,0.03,1.14,0.75,0.0,0.43,0.28,0.0,0.0,0.12,0.0,0.0,0.55,0.0,0.0
82,1.35,0.98,0.0,0.27,0.29,0.03,1.18,0.82,0.0,0.4,0.29,0.0,0.0,0.17,0.0,0.0,0.55,0.0,0.0
83,1.367,0.98,0.0,0.13,0.17,0.04,1.17,0.75,0.0,0.37,0.28,0.0,0.0,0.19,0.03,0.0,0.54,0.0,0.0
84,1.383,0.98,0.0,0.03,0.21,0.07,1.18,0.8,0.0,0.28,0.29,0.0,0.0,0.2,0.03,0.0,0.48,0.0,0.0
85,1.4,0.98,0.0,0.01,0.25,0.07,1.22,0.66,0.0,0.21,0.32,0.0,0.0,0.25,0.03,0.0,0.45,0.0,0.0
86,1.417,0.98,0.0,0.13,0.3,0.04,1.25,0.69,0.0,0.14,0.35,0.0,0.03,0.28,0.0,0.0,0.42,0.0,0.0
87,1.433,0.98,0.0,0.12,0.25,0.0,1.26,0.77,0.0,0.08,0.39,0.0,0.04,0.31,0.0,0.0,0.42,0.0,0.0
88,1.45,0.98,0.0,0.12,0.24,0.0,1.24,0.88,0.0,0.12,0.4,0.0,0.05,0.4,0.05,0.0,0.36,0.0,0.0
89,1.467,0.98,0.0,0.0,0.28,0.0,1.22,0.99,0.0,0.18,0.4,0.0,0.08,0.41,0.05,0.0,0.33,0.0,0.0
90,1.483,0.98,0.0,0.0,0.31,0.0,1.2,0.85,0.0,0.23,0.36,0.0,0.07,0.4,0.05,0.0,0.33,0.0,0.0
91,1.5,0.98,0.0,0.0,0.37,0.0,1.18,0.93,0.0,0.25,0.32,0.0,0.05,0.32,0.02,0.0,0.28,0.0,0.0
92,1.517,0.98,0.0,0.0,0.28,0.0,1.18,0.92,0.0,0.22,0.3,0.0,0.01,0.3,0.02,0.0,0.29,0.0,0.0
93,1.533,0.98,0.0,0.06,0.34,0.0,1.19,1.03,0.0,0.22,0.29,0.03,0.02,0.32,0.02,0.0,0.37,0.0,0.0
94,1.55,0.98,0.0,0.18,0.31,0.0,1.21,1.02,0.0,0.18,0.24,0.02,0.05,0.28,0.0,0.0,0.49,0.0,0.0
