AU,悲伤_mean,积极_mean,中性_mean,悲伤_std,积极_std,中性_std,F_stat,p_value
AU06_r,1.2385164703053617,1.619504089315851,1.505134443021767,0.24683139700645212,0.19894238916733076,0.2621471737323913,7225.179202450409,0.0
AU07_r,1.7336180572252946,2.3228949759833832,2.2024327784891167,0.4735261444160357,0.4437941172333425,0.556749043754891,4394.868962923387,0.0
AU04_r,0.9720431594133206,0.6959678047513956,0.5837708066581306,0.3011564682727507,0.22707898546273997,0.271079893289702,3423.006223179071,0.0
AU10_r,2.444508295263285,2.685155134363235,2.743508322663252,0.23968978883105513,0.27133176290906974,0.290744083155204,2956.094033923171,0.0
AU12_r,0.09843772541476317,0.24516162534077632,0.3596350832266325,0.19841762464041546,0.25919696781838153,0.13085577676717733,1954.9116749967864,0.0
AU17_r,0.44039492666506375,0.8155822406854473,0.5519462227912932,0.4317433294871072,0.643342922564094,0.6187664215452835,1393.6010917535914,0.0
AU15_r,0.11146850204376052,0.2145320005192782,0.11791293213828424,0.1670178559431276,0.3041829392485824,0.1969010816453742,595.7942642597868,1.0616471991463492e-253
AU14_r,0.6328805001202212,0.627745034402181,0.2855121638924456,0.41217581390097824,0.3303168890755719,0.41765889220291075,577.2238977251387,5.514715826555323e-246
AU23_r,0.22725354652560714,0.0806439049720888,0.2745710627400768,0.3790740714312272,0.1367415381111878,0.5123117765050239,554.3714972787423,1.7811477196716733e-236
AU25_r,1.413357778312094,1.2900272621056732,0.5474263764404609,0.9237867681111338,1.2973678349912023,0.5012680808526991,509.2756600852463,1.1560060041042634e-217
AU26_r,0.8357231305602307,0.846124886407893,0.3624647887323944,0.612288139762624,0.8467331535645429,0.31654384650902223,362.8537414304714,3.820617115111347e-156
AU20_r,0.15195299350805483,0.10269894846163832,0.12310499359795135,0.26952672037474873,0.16904262992238536,0.20303939050830339,113.01753175088879,1.349169708752191e-49
AU09_r,0.044645347439288295,0.05261326755809424,0.03197823303457106,0.08305878746644595,0.09613084394043055,0.05867065164856779,45.54086403724268,1.805310881902051e-20
AU01_r,0.08299591247896129,0.09527846293651825,0.09968629961587709,0.1335176791639132,0.14076882131262394,0.14677485935454979,27.753131528786064,9.117297224158953e-13
AU02_r,0.05260759798028373,0.06422952096585746,0.05298975672215109,0.11230012363604626,0.14206649875922303,0.10615723437335757,24.590853682707465,2.1402068933845698e-11
AU45_r,0.1407622024525126,0.13808386342983253,0.14505121638924456,0.25611740469235783,0.24803899667022325,0.2668688431629763,0.5908851695139552,0.5538442946261656
AU05_r,0.041210026448665546,0.04224587822926133,0.04133802816901408,0.11198286667577555,0.10553360656361309,0.10404404022075879,0.23741930801725217,0.7886622435240915
