AU,mean,std,min,max,cv
AU10_r,1.107176166739407,1.0292465264883683,0.008096418732782369,2.743508322663252,0.9296140554754365
AU15_r,0.19868522178681391,0.1739129742032078,0.0654214876033058,0.5426834810270393,0.8753191235823954
AU14_r,0.4056427415418716,0.32707269386870785,0.044046563192904654,1.0130564784053155,0.8063072757705108
AU12_r,0.33847862920673577,0.2550506376649097,0.029002217294900226,0.7718770764119602,0.7535206528774082
AU20_r,0.15378384068549622,0.10988918784202936,0.06263303769401331,0.36977505112474435,0.7145691468765178
AU07_r,1.1691859714057942,0.7409974599999227,0.23528824833702885,2.2024327784891167,0.6337721099312965
AU06_r,0.8200165028916231,0.5028136854963191,0.3742793791574279,1.505134443021767,0.6131750808956258
AU04_r,0.5625065472695959,0.31502407914332625,0.21277716186252774,1.094151329243354,0.5600362887729069
AU01_r,0.12306544574612355,0.0494598378425792,0.07353719008264463,0.21014950166112956,0.4018986608524687
AU26_r,0.49051214672819893,0.19464927238143634,0.25526053215077604,0.7474255850942968,0.39682864874964
AU17_r,0.5397324703135269,0.20093005692777213,0.21491460055096417,0.8136309929561463,0.3722771335418327
AU23_r,0.17865807084992952,0.06582834636499485,0.09029933481152994,0.2745710627400768,0.36845996406336334
AU02_r,0.07919991215487951,0.028669792110566177,0.046049586776859504,0.12647580095432856,0.3619927261346063
AU25_r,0.47035686699624185,0.1630685299595326,0.17133608815426998,0.6444285389684163,0.3466910794795211
AU09_r,0.05314810631417496,0.0166378595736148,0.03197823303457106,0.08196546239491025,0.3130470815886317
AU45_r,0.2030961062046824,0.044559652201595204,0.14505121638924456,0.28174505794137694,0.21940180456580252
AU05_r,0.04456995813229525,0.008601263980144436,0.03406611570247934,0.060277209725062494,0.1929834431213429
