,悲伤-中性,悲伤-积极,中性-积极
AU01_r,0.03800645458736746,-0.013922311602134918,-0.05192876618950238
AU02_r,0.02327411249423697,0.006589279501735275,-0.016684832992501696
AU04_r,0.6709775472568005,0.9868569610263983,0.3158794137695978
AU05_r,0.011534117104656523,0.004145228215767634,-0.007388888888888889
AU06_r,0.2749211618257261,0.1901716730731699,-0.08474948875255624
AU07_r,1.33134642692485,0.8244884173815645,-0.5068580095432856
AU09_r,0.016056662056247117,-0.005170468141435229,-0.021227130197682346
AU10_r,0.30060283540802213,-0.1540670009927959,-0.45466983640081804
AU12_r,1.0062475564776394,0.4332572020127451,-0.5729903544648943
AU14_r,0.2613914246196404,0.2109875391390678,-0.0504038854805726
AU15_r,0.03645069156293222,0.003242000356388247,-0.033208691206543975
AU17_r,0.09269857076994004,0.028221338322768963,-0.06447723244717107
AU20_r,0.02248294144767174,-0.03345093721626826,-0.05593387866394
AU23_r,0.0026823190410327283,-0.025660455328428762,-0.02834277436946149
AU25_r,0.05544186260949746,-0.04727504263930965,-0.10271690524880711
AU26_r,0.06591881051175659,0.04608670417228827,-0.019832106339468317
AU45_r,0.05653921161825726,0.10374156335649859,0.04720235173824133
