AU,mean,std,min,max,cv
AU12_r,0.6155832670169874,0.5145554989311946,0.21360219263899766,1.4993161966558524,0.8358828553359542
AU15_r,0.23942638035743102,0.17553657154714514,0.11791293213828424,0.5426834810270393,0.7331546811386987
AU20_r,0.17581559485547116,0.11285300598727292,0.0883254304966309,0.36977505112474435,0.6418827981672701
AU04_r,0.8298890667915724,0.4391502939428641,0.25476115896632734,1.3868729722984778,0.5291674652862456
AU14_r,0.6100093333833095,0.29761888680309345,0.2855121638924456,1.0697179935113552,0.4878923493717754
AU23_r,0.17410374415486618,0.08324408732918515,0.04729473421512354,0.2745710627400768,0.4781292196400963
AU06_r,1.4343346974906992,0.6601569111777692,0.4759418314019542,2.3395358123284256,0.46025304437847214
AU02_r,0.10706326467338162,0.04481035439095852,0.05298975672215109,0.1698381623596972,0.41854089287919316
AU25_r,0.4308521824439728,0.16980729322494317,0.23719394413991124,0.6444285389684163,0.39411960794007256
AU07_r,1.7705578516577547,0.697136066484959,1.065547791365111,2.6891542678151916,0.3937380898524371
AU10_r,1.928480373191159,0.7005183705842708,0.8510154006786739,2.743508322663252,0.36324889810783284
AU09_r,0.05218414689005973,0.018848619678175253,0.03197823303457106,0.08196546239491025,0.36119436268422783
AU26_r,0.5132634455005738,0.18299104413991704,0.30895327590707383,0.7474255850942968,0.3565245991002733
AU17_r,0.5464083238746912,0.16486823353907565,0.40338158223109555,0.8136309929561463,0.3017308235166732
AU45_r,0.21860376655410538,0.06509877461159866,0.14505121638924456,0.28504829026363876,0.2977934718955834
AU01_r,0.14513787185256793,0.03685353751081535,0.09968629961587709,0.2022265726964239,0.25392088943023383
AU05_r,0.05855888437930429,0.014092159474212525,0.04133802816901408,0.079997389715479,0.24064938435188044
