AU,悲伤_mean,积极_mean,中性_mean,悲伤_std,积极_std,中性_std,F_stat,p_value
AU12_r,0.7227332667332667,1.4770496298327394,0.7718770764119602,0.1679961876447041,0.3759893462431438,0.2528429019421921,13182.944484423775,0.0
AU04_r,0.6651388611388611,0.11280230326295584,0.2736323366555925,0.31196359469317536,0.2371056164184397,0.2866250438551592,5301.283390461687,0.0
AU06_r,1.2054965034965035,1.6444639429668222,1.358250276854928,0.254023051172989,0.32127152054274183,0.2790748349396647,3436.9365233363083,0.0
AU10_r,1.2185654345654346,1.0248834658623527,0.6858084163898117,0.33710523583001784,0.308660357347189,0.33057750879345005,2156.624727686971,0.0
AU07_r,1.5855724275724277,1.0826295585412669,1.7748615725359909,0.43466817295314203,0.4141737118597939,0.5664684928341809,2104.994165202714,0.0
AU14_r,0.8980299700299699,1.1760954208938852,1.0130564784053155,0.34608322915073436,0.3819598626275991,0.5089919729056575,735.9021509774183,5.167819627659968e-306
AU26_r,0.3222757242757242,0.3804140389361119,0.6954263565891473,0.37380880524303156,0.4932199688805714,0.7725135592159142,489.57488091698474,6.949667515347577e-207
AU23_r,0.08611788211788211,0.07028242391006306,0.19535437430786268,0.19143141879484746,0.13899499146029745,0.411176850829485,220.73338849454683,3.0192925822336405e-95
AU25_r,0.27663836163836164,0.2795804771044694,0.4388150609080841,0.2976414414345788,0.44587616525009793,0.4838399972973362,157.93410309435808,1.2629366921482834e-68
AU17_r,0.5168041958041958,0.4546723334247326,0.6601771871539314,0.46279199452041675,0.39714513968986487,0.5780245424767773,118.96738023388606,5.329371636087381e-52
AU05_r,0.08645754245754246,0.04706333973128599,0.04406976744186046,0.22509484835242152,0.10882205543948617,0.09946586922841129,78.46819182737578,1.2402297173523393e-34
AU01_r,0.19789410589410592,0.1178941595832191,0.21014950166112956,0.3872618094599035,0.1652549335883638,0.39538118173152226,77.62504646514171,2.857691647719438e-34
AU20_r,0.07459640359640358,0.06893062791335344,0.11134551495016613,0.12382265502385173,0.10541134573372352,0.19012269512586333,72.1776664350417,6.296206645832046e-32
AU09_r,0.05846853146853147,0.09319440636139292,0.056738648947951276,0.1822748971214101,0.21301528126806438,0.16994965485107552,47.99900737055754,1.6548148493311799e-21
AU02_r,0.12991908091908091,0.07123389086920756,0.08805647840531564,0.40644051170620094,0.19704329937655565,0.271864973486991,41.28254569881851,1.3149926288999042e-18
AU45_r,0.15215284715284716,0.1795749931450507,0.20864894795127353,0.3372685584721051,0.3687409719173396,0.43710685764657337,22.909807688093277,1.1617480531220973e-10
AU15_r,0.1427062937062937,0.1383383602961338,0.14279623477297895,0.2233556153747432,0.26509846299407164,0.25519516668164477,0.47371188472530035,0.6226956702906314
