,对照组,男患者,女患者,患者合并,男患者-对照,女患者-对照
AU01_r,0.11608992767161737,0.15515640538621364,0.12471485108556642,0.13993562823589004,0.03906647771459627,0.008624923413949048
AU02_r,0.05213005519212275,0.05976840459815406,0.061613449253630305,0.06069092692589218,0.007638349406031308,0.009483394061507555
AU04_r,1.4259050650169316,0.8787697003924873,0.3910019165361038,0.6348858084642955,-0.5471353646244443,-1.0349031484808278
AU05_r,0.05720202609023112,0.04068125712857921,0.04637814498072629,0.043529701054652745,-0.01652076896165191,-0.01082388110950483
AU06_r,0.1487150131983875,0.42154799274967325,0.19927853816455113,0.3104132654571122,0.2728329795512857,0.05056352496616362
AU07_r,1.20282391572782,0.778472072490659,0.0985461561599061,0.43850911432528256,-0.424351843237161,-1.1042777595679139
AU09_r,0.035508546237724266,0.036418449195688346,0.035714639618885595,0.036066544407286974,0.0009099029579640802,0.00020609338116132914
AU10_r,0.4495563254523851,0.0822744423093943,0.19370919059882444,0.13799181645410938,-0.3672818831429908,-0.2558471348535607
AU12_r,0.8271573568881024,0.20662483967968479,0.23950982657923003,0.22306733312945742,-0.6205325172084176,-0.5876475303088724
AU14_r,0.09016953721048043,0.006651354547705453,0.12639109173609922,0.06652122314190234,-0.08351818266277498,0.03622155452561879
AU15_r,0.07185870790765396,0.0897172368670706,0.1019109727568419,0.09581410481195625,0.017858528959416642,0.030052264849187937
AU17_r,0.17675180202917554,0.2529409802513713,0.4744792390542463,0.3637101096528088,0.07618917822219576,0.29772743702507076
AU20_r,0.051693652586657375,0.056479756076001086,0.09339026988743598,0.07493501298171854,0.004786103489343711,0.04169661730077861
AU23_r,0.060472681195605865,0.054434030981145486,0.16955717859043293,0.11199560478578921,-0.00603865021446038,0.10908449739482706
AU25_r,0.14772522243338915,0.17816708369178091,0.30433379490111817,0.24125043929644954,0.030441861258391767,0.15660857246772902
AU26_r,0.18346433176184304,0.20985603434796718,0.2274278925589629,0.21864196345346504,0.02639170258612414,0.043963560797119855
AU45_r,0.28916452226534944,0.19563535533302415,0.13697408958814902,0.16630472246058658,-0.0935291669323253,-0.15219043267720042
