emotion,AU,control_mean,patient_mean,mean_diff,cohens_d,ci_lower,ci_upper,t_stat,p_value
sadness,AU01_r,0.11608992767161737,0.11280404482098932,-0.003285882850628044,0.0,-0.053453755690519605,0.030576294682791424,,
sadness,AU02_r,0.05213005519212275,0.05502869636512708,0.0028986411730043335,0.0,-0.003850971684665444,0.014542239759267488,,
sadness,AU04_r,1.4259050650169316,2.1542607269745835,0.7283556619576519,0.0,0.5932929520385224,0.9315686318944285,,
sadness,AU05_r,0.05720202609023112,0.03124350915550697,-0.025958516934724146,0.0,-0.03984088982147513,-0.007901719060260666,,
sadness,AU06_r,0.1487150131983875,0.0031784640612189125,-0.1455365491371686,0.0,-0.2717426977645072,-0.014853597851440017,,
sadness,AU07_r,1.20282391572782,1.7295135282864171,0.5266896125585971,0.0,0.23622657176467832,0.9638529423273238,,
sadness,AU09_r,0.035508546237724266,0.042003279584585954,0.006494733346861688,0.0,-4.275622104064902e-05,0.013258116511064667,,
sadness,AU10_r,0.4495563254523851,0.0,-0.4495563254523851,0.0,-0.6653195020746888,-0.1511111111111111,,
sadness,AU12_r,0.8271573568881024,0.006277671494943974,-0.8208796853931585,0.0,-1.1816421072049177,-0.596480758576919,,
sadness,AU14_r,0.09016953721048043,0.00014758130636786007,-0.09002195590411258,0.0,-0.2612438433132725,-0.0027435187489112996,,
sadness,AU15_r,0.07185870790765396,0.06934681606996447,-0.0025118918376894894,0.0,-0.01315387549296776,0.00804222789970465,,
sadness,AU17_r,0.17675180202917554,0.4198824815523367,0.24313067952316117,0.0,0.19953946633795222,0.27775423390170095,,
sadness,AU20_r,0.051693652586657375,0.06384804591418419,0.012154393327526818,0.0,0.007753993355401341,0.02087955503524555,,
sadness,AU23_r,0.060472681195605865,0.07434818256354196,0.013875501367936097,0.0,-0.02641294275615115,0.04260136111522798,,
sadness,AU25_r,0.14772522243338915,0.2333151134189669,0.08558989098557776,0.0,0.030190816743775106,0.12521671651459984,,
sadness,AU26_r,0.18346433176184304,0.2531265373052746,0.06966220554343158,0.0,-0.01031387190188654,0.1376594284053299,,
sadness,AU45_r,0.28916452226534944,0.2707625034162339,-0.01840201884911552,0.0,-0.09544312318223153,0.040839958464643306,,
positive,AU01_r,0.16551369987952744,0.14728762011988536,-0.018226079759642078,-0.1935334551181318,-0.1357627031862715,0.09665752517602524,-0.2120052780002289,0.8456897250962714
positive,AU02_r,0.10249853728034407,0.057378355941822834,-0.045120181338521234,-0.6793946699449763,-0.1373950250786486,0.0050879673937655814,-0.7442395723552812,0.5107247347895391
positive,AU04_r,1.180803989497244,0.17372899008203477,-1.0070749994152093,-2.107559483495634,-1.392134859008703,-0.373875928372708,-2.3087157407889913,0.10415335517635113
positive,AU05_r,0.03644124981383989,0.044821919923052976,0.008380670109213083,1.5026154205116729,0.0005825963741835916,0.016178743844242574,1.6460327221387083,0.19830974004574742
positive,AU06_r,0.394625480658509,1.0669016188375058,0.6722761381789968,0.748076635783202,-0.6057002078852565,1.95025248424325,0.8194768963220722,0.4725567359829455
positive,AU07_r,1.1808340260170809,0.7883758368275376,-0.3924581891895432,-0.4919371562288249,-1.552388543512623,0.7674721651335367,-0.5388901546829409,0.6273840529961604
positive,AU09_r,0.0734444906905012,0.05017113916269805,-0.023273351527803146,-0.4654485544504118,-0.08701483463026091,0.01922136041725432,-0.5098733452613242,0.6452825318056052
positive,AU10_r,0.9177311648665273,0.23720257782211043,-0.6805285870444169,-2.120793553069781,-1.1187408454448562,-0.24231632864397712,-2.3232129376556974,0.10278220420011788
positive,AU12_r,1.0661142758983677,0.7332687466320468,-0.33284552926632094,-0.8026962119827823,-0.9288436793290458,0.2631526207964039,-0.879309644253837,0.44397336129597126
positive,AU14_r,0.1060534081179325,0.2772195408152973,0.1711661326973648,0.6872433172348337,-0.1867263233700424,0.5290585887647721,0.7528373346883946,0.5062372626082433
positive,AU15_r,0.10413626881370319,0.10247647951492864,-0.0016597892987745555,-0.03670839849662318,-0.06342289493304303,0.060103316335493914,-0.04021203581297849,0.9704505404388358
positive,AU17_r,0.43844596662178253,0.5749860555574114,0.1365400889356289,0.295760923579727,-0.49751952554200335,0.7705997034132611,0.3239898589463561,0.7672196629242667
positive,AU20_r,0.08099597728248968,0.09260334820311257,0.01160737092062289,0.5361047127042815,-0.01707288588193437,0.04028762772318013,0.5872732886659229,0.598293144453869
positive,AU23_r,0.11426770390518594,0.08501248857604138,-0.02925521532914456,-0.37730726731404435,-0.11031097149852861,0.0515479093226926,-0.4133194028370676,0.7071403851962327
positive,AU25_r,0.4773414658154282,0.42183303621880053,-0.05550842959662766,-0.11141077195870829,-0.6990103711469571,0.5215548056590452,-0.12204438590169708,0.9105801721867091
positive,AU26_r,0.21180744802797055,0.21249433707135895,0.0006868890433884001,0.006957762633018553,-0.1260437568279944,0.11693029548209591,0.0076218470877416015,0.9943972129473295
positive,AU45_r,0.1765354928241543,0.18050904232851273,0.003973549504358437,0.05281855678856771,-0.10671146967555441,0.1146585686842713,0.05785983001593232,0.9574985490205324
