frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
19,0,0.3,0.98,1,0.16,0.01,0.0,0.0,0.2,0.69,0.0,0.57,0.05,0.0,0.04,0.3,0.0,0.01,0.97,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
20,0,0.317,0.98,1,0.15,0.01,0.0,0.0,0.26,0.78,0.0,0.54,0.06,0.0,0.04,0.3,0.0,0.03,1.03,0.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
21,0,0.333,0.98,1,0.24,0.01,0.0,0.0,0.28,0.82,0.0,0.51,0.07,0.0,0.0,0.28,0.0,0.02,1.14,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
22,0,0.35,0.98,1,0.19,0.01,0.0,0.0,0.3,0.72,0.03,0.47,0.03,0.0,0.0,0.28,0.0,0.03,1.13,0.46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
23,0,0.367,0.98,1,0.22,0.01,0.0,0.0,0.29,0.55,0.03,0.47,0.03,0.0,0.0,0.28,0.0,0.01,1.1,0.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
24,0,0.383,0.98,1,0.21,0.01,0.0,0.0,0.31,0.47,0.03,0.45,0.02,0.0,0.0,0.23,0.0,0.01,1.04,0.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
25,0,0.4,0.98,1,0.27,0.0,0.0,0.0,0.26,0.49,0.0,0.45,0.02,0.0,0.0,0.2,0.0,0.0,1.0,0.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
26,0,0.417,0.98,1,0.2,0.0,0.0,0.0,0.28,0.61,0.0,0.48,0.01,0.0,0.01,0.21,0.0,0.01,1.09,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
27,0,0.433,0.98,1,0.26,0.0,0.0,0.0,0.25,0.63,0.0,0.53,0.01,0.0,0.03,0.27,0.0,0.05,1.07,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
28,0,0.45,0.98,1,0.27,0.01,0.0,0.0,0.25,0.69,0.0,0.58,0.02,0.0,0.05,0.39,0.0,0.08,1.18,0.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
