frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
40,1.3,0.98,0.17,0.01,1.1,0.0,0.0,0.59,0.0,0.14,0.52,0.0,0.0,0.18,0.01,0.0,0.18,0.01,0.07
41,1.333,0.98,0.27,0.01,1.09,0.0,0.0,0.53,0.0,0.21,0.57,0.0,0.0,0.2,0.01,0.0,0.18,0.0,0.0
42,1.367,0.98,0.28,0.01,1.04,0.0,0.0,0.53,0.0,0.19,0.57,0.0,0.0,0.17,0.0,0.0,0.19,0.0,0.0
43,1.4,0.98,0.28,0.0,1.01,0.0,0.0,0.52,0.0,0.24,0.63,0.0,0.0,0.13,0.0,0.0,0.21,0.0,0.0
44,1.433,0.98,0.17,0.0,1.0,0.0,0.0,0.43,0.0,0.16,0.6,0.0,0.0,0.15,0.0,0.0,0.3,0.05,0.09
45,1.467,0.98,0.11,0.0,0.96,0.01,0.0,0.34,0.0,0.14,0.62,0.0,0.0,0.17,0.0,0.0,0.37,0.06,0.09
46,1.5,0.98,0.01,0.0,0.89,0.02,0.0,0.38,0.0,0.07,0.62,0.0,0.0,0.17,0.0,0.0,0.43,0.09,0.09
47,1.533,0.98,0.01,0.0,0.83,0.02,0.0,0.46,0.0,0.11,0.65,0.0,0.0,0.15,0.0,0.0,0.45,0.06,0.0
48,1.567,0.98,0.01,0.0,0.84,0.01,0.0,0.53,0.0,0.11,0.65,0.0,0.01,0.12,0.0,0.0,0.49,0.05,0.0
49,1.6,0.98,0.0,0.0,0.86,0.0,0.0,0.56,0.0,0.15,0.64,0.0,0.01,0.09,0.0,0.0,0.45,0.02,0.1
50,1.633,0.98,0.0,0.0,0.9,0.0,0.0,0.61,0.0,0.17,0.66,0.0,0.01,0.04,0.0,0.0,0.35,0.0,0.1
51,1.667,0.98,0.01,0.03,0.98,0.0,0.0,0.53,0.0,0.19,0.66,0.0,0.0,0.09,0.0,0.0,0.24,0.0,0.14
52,1.7,0.98,0.01,0.14,1.1,0.0,0.0,0.54,0.0,0.14,0.66,0.0,0.0,0.06,0.0,0.0,0.3,0.0,0.1
53,1.733,0.98,0.01,0.14,1.13,0.01,0.0,0.57,0.0,0.11,0.64,0.0,0.0,0.12,0.0,0.0,0.27,0.04,0.11
54,1.767,0.98,0.0,0.12,1.19,0.01,0.0,0.69,0.0,0.17,0.62,0.0,0.03,0.08,0.0,0.0,0.32,0.08,0.06
55,1.8,0.98,0.0,0.0,1.19,0.01,0.0,0.7,0.0,0.2,0.61,0.0,0.04,0.08,0.0,0.0,0.26,0.09,0.01
56,1.833,0.98,0.04,0.0,1.25,0.0,0.0,0.64,0.0,0.22,0.62,0.0,0.09,0.06,0.0,0.0,0.36,0.13,0.0
57,1.867,0.98,0.04,0.0,1.22,0.0,0.0,0.51,0.0,0.17,0.6,0.0,0.05,0.05,0.0,0.0,0.43,0.1,0.05
58,1.9,0.98,0.04,0.0,1.19,0.0,0.0,0.4,0.0,0.19,0.6,0.0,0.12,0.07,0.0,0.0,0.44,0.15,0.05
59,1.933,0.98,0.01,0.0,1.19,0.0,0.0,0.31,0.0,0.23,0.6,0.0,0.12,0.05,0.0,0.0,0.47,0.1,0.05
60,1.967,0.98,0.01,0.0,1.25,0.0,0.0,0.38,0.01,0.22,0.64,0.0,0.18,0.07,0.0,0.0,0.37,0.11,0.0
61,2.0,0.98,0.01,0.0,1.14,0.0,0.0,0.45,0.01,0.2,0.65,0.0,0.14,0.12,0.0,0.0,0.35,0.09,0.02
62,2.033,0.98,0.0,0.03,1.08,0.0,0.0,0.54,0.01,0.13,0.62,0.0,0.09,0.14,0.0,0.0,0.27,0.1,0.05
63,2.067,0.98,0.0,0.03,1.02,0.0,0.0,0.53,0.0,0.08,0.58,0.0,0.04,0.17,0.0,0.01,0.22,0.11,0.05
64,2.1,0.98,0.0,0.03,1.04,0.0,0.0,0.54,0.0,0.06,0.56,0.0,0.01,0.17,0.0,0.01,0.16,0.07,0.03
65,2.133,0.98,0.0,0.0,0.94,0.0,0.0,0.5,0.0,0.07,0.52,0.0,0.01,0.15,0.0,0.01,0.13,0.03,0.0
66,2.167,0.98,0.0,0.0,0.88,0.0,0.0,0.5,0.06,0.09,0.5,0.0,0.01,0.14,0.0,0.01,0.09,0.0,0.0
67,2.2,0.98,0.0,0.0,0.85,0.0,0.0,0.5,0.08,0.11,0.47,0.0,0.04,0.14,0.0,0.03,0.06,0.0,0.03
68,2.233,0.98,0.0,0.0,0.94,0.0,0.0,0.53,0.12,0.12,0.49,0.0,0.07,0.17,0.0,0.03,0.0,0.0,0.03
69,2.267,0.98,0.0,0.0,0.97,0.0,0.0,0.62,0.11,0.13,0.53,0.0,0.09,0.18,0.0,0.03,0.0,0.0,0.03
70,2.3,0.98,0.0,0.0,1.0,0.0,0.0,0.61,0.11,0.17,0.54,0.0,0.12,0.15,0.0,0.01,0.0,0.0,0.0
71,2.333,0.98,0.0,0.0,0.99,0.0,0.0,0.65,0.1,0.18,0.56,0.0,0.19,0.14,0.0,0.01,0.0,0.09,0.0
72,2.367,0.98,0.0,0.0,1.0,0.0,0.0,0.54,0.06,0.13,0.54,0.0,0.2,0.09,0.0,0.0,0.07,0.08,0.0
73,2.4,0.98,0.0,0.0,1.04,0.0,0.0,0.61,0.03,0.05,0.48,0.0,0.14,0.05,0.0,0.0,0.13,0.16,0.15
74,2.433,0.98,0.0,0.0,1.1,0.0,0.0,0.68,0.01,0.07,0.45,0.0,0.03,0.0,0.0,0.0,0.18,0.07,0.15
75,2.467,0.98,0.0,0.0,1.09,0.0,0.0,0.53,0.0,0.11,0.42,0.0,0.03,0.0,0.0,0.03,0.14,0.07,0.15
76,2.5,0.98,0.0,0.0,1.08,0.0,0.0,0.47,0.0,0.17,0.42,0.0,0.03,0.04,0.0,0.03,0.16,0.0,0.0
77,2.533,0.98,0.0,0.0,1.12,0.0,0.0,0.38,0.03,0.12,0.39,0.0,0.03,0.05,0.0,0.03,0.2,0.05,0.03
78,2.567,0.98,0.0,0.0,1.2,0.0,0.07,0.7,0.13,0.11,0.43,0.0,0.06,0.1,0.01,0.0,0.22,0.05,0.57
79,2.6,0.98,0.0,0.0,1.25,0.0,0.13,0.93,0.17,0.07,0.46,0.0,0.14,0.07,0.01,0.0,0.21,0.05,1.42
80,2.633,0.98,0.0,0.0,1.26,0.0,0.22,1.13,0.22,0.12,0.52,0.0,0.22,0.05,0.01,0.0,0.19,0.0,2.0
81,2.667,0.98,0.0,0.0,1.31,0.0,0.19,1.08,0.15,0.16,0.54,0.0,0.16,0.0,0.0,0.0,0.25,0.0,1.77
82,2.7,0.98,0.0,0.0,1.36,0.0,0.12,0.72,0.11,0.22,0.54,0.0,0.12,0.02,0.0,0.0,0.31,0.0,1.07
83,2.733,0.98,0.0,0.0,1.31,0.0,0.04,0.42,0.03,0.18,0.54,0.0,0.04,0.05,0.01,0.0,0.32,0.02,0.46
84,2.767,0.98,0.0,0.0,1.28,0.0,0.0,0.13,0.02,0.2,0.52,0.0,0.04,0.09,0.01,0.0,0.3,0.09,0.15
85,2.8,0.98,0.0,0.0,1.29,0.0,0.0,0.17,0.04,0.19,0.53,0.0,0.02,0.07,0.02,0.0,0.29,0.09,0.01
86,2.833,0.98,0.0,0.0,1.32,0.0,0.0,0.15,0.04,0.2,0.52,0.0,0.02,0.04,0.01,0.0,0.25,0.08,0.01
87,2.867,0.98,0.0,0.0,1.28,0.0,0.0,0.27,0.02,0.16,0.53,0.0,0.04,0.0,0.02,0.0,0.23,0.01,0.01
88,2.9,0.98,0.0,0.0,1.27,0.0,0.0,0.29,0.03,0.16,0.54,0.01,0.09,0.05,0.01,0.0,0.17,0.04,0.0
89,2.933,0.98,0.0,0.0,1.27,0.0,0.0,0.23,0.04,0.16,0.52,0.01,0.13,0.05,0.01,0.0,0.19,0.05,0.0
90,2.967,0.98,0.0,0.0,1.25,0.0,0.0,0.19,0.08,0.2,0.51,0.01,0.12,0.05,0.0,0.0,0.19,0.05,0.0
91,3.0,0.98,0.0,0.0,1.24,0.0,0.0,0.13,0.07,0.18,0.5,0.0,0.05,0.0,0.02,0.0,0.19,0.14,0.0
92,3.033,0.98,0.0,0.0,1.3,0.0,0.0,0.22,0.06,0.16,0.5,0.0,0.01,0.0,0.06,0.0,0.18,0.13,0.0
93,3.067,0.98,0.0,0.0,1.3,0.0,0.0,0.24,0.05,0.06,0.48,0.0,0.0,0.0,0.05,0.0,0.15,0.12,0.0
94,3.1,0.98,0.0,0.0,1.24,0.0,0.0,0.3,0.02,0.03,0.48,0.0,0.02,0.03,0.04,0.0,0.17,0.0,0.04
95,3.133,0.98,0.0,0.0,1.18,0.0,0.0,0.37,0.04,0.04,0.52,0.0,0.03,0.03,0.0,0.0,0.16,0.0,0.04
96,3.167,0.98,0.0,0.0,1.21,0.0,0.0,0.41,0.03,0.06,0.57,0.0,0.11,0.03,0.05,0.0,0.15,0.02,0.04
97,3.2,0.98,0.0,0.0,1.24,0.0,0.0,0.46,0.09,0.05,0.57,0.0,0.08,0.0,0.05,0.0,0.11,0.04,0.0
98,3.233,0.98,0.0,0.0,1.16,0.05,0.0,0.57,0.08,0.02,0.57,0.0,0.09,0.01,0.05,0.01,0.13,0.12,0.0
99,3.267,0.98,0.04,0.0,1.16,0.05,0.0,0.54,0.06,0.0,0.6,0.0,0.06,0.04,0.0,0.02,0.17,0.1,0.0
100,3.3,0.98,0.04,0.0,1.14,0.05,0.0,0.52,0.0,0.02,0.63,0.0,0.13,0.04,0.0,0.04,0.22,0.08,0.0
101,3.333,0.98,0.04,0.0,1.19,0.0,0.0,0.37,0.0,0.02,0.61,0.0,0.13,0.03,0.0,0.07,0.23,0.01,0.0
102,3.367,0.98,0.0,0.0,1.23,0.0,0.0,0.52,0.01,0.02,0.61,0.0,0.14,0.05,0.0,0.08,0.22,0.01,0.0
103,3.4,0.98,0.0,0.0,1.28,0.0,0.0,0.61,0.02,0.0,0.61,0.0,0.07,0.05,0.0,0.08,0.2,0.02,0.0
104,3.433,0.98,0.0,0.0,1.29,0.0,0.0,0.59,0.04,0.0,0.61,0.0,0.12,0.07,0.0,0.07,0.21,0.01,0.0
105,3.467,0.98,0.0,0.0,1.3,0.0,0.0,0.57,0.05,0.0,0.59,0.0,0.15,0.04,0.0,0.07,0.24,0.01,0.0
106,3.5,0.98,0.0,0.0,1.3,0.0,0.0,0.47,0.07,0.02,0.56,0.0,0.25,0.04,0.0,0.06,0.27,0.04,0.0
107,3.533,0.98,0.0,0.0,1.35,0.0,0.0,0.46,0.09,0.05,0.54,0.0,0.28,0.02,0.01,0.03,0.22,0.06,0.0
108,3.567,0.98,0.0,0.0,1.3,0.0,0.0,0.25,0.07,0.12,0.53,0.0,0.24,0.0,0.01,0.04,0.18,0.1,0.0
109,3.6,0.98,0.0,0.0,1.26,0.0,0.0,0.27,0.04,0.12,0.54,0.0,0.2,0.0,0.06,0.02,0.09,0.13,0.0
110,3.633,0.98,0.01,0.0,1.25,0.0,0.0,0.4,0.0,0.11,0.55,0.0,0.18,0.03,0.07,0.02,0.07,0.11,0.0
111,3.667,0.98,0.03,0.0,1.27,0.02,0.0,0.42,0.0,0.08,0.55,0.0,0.17,0.03,0.07,0.0,0.04,0.17,0.02
112,3.7,0.98,0.03,0.0,1.28,0.02,0.0,0.35,0.0,0.09,0.55,0.0,0.13,0.03,0.03,0.01,0.03,0.19,0.02
113,3.733,0.98,0.03,0.0,1.21,0.02,0.0,0.29,0.0,0.12,0.59,0.0,0.06,0.05,0.05,0.0,0.01,0.2,0.02
114,3.767,0.98,0.01,0.0,1.18,0.04,0.0,0.55,0.0,0.13,0.62,0.0,0.02,0.08,0.05,0.0,0.0,0.2,0.0
115,3.8,0.98,0.01,0.0,1.2,0.04,0.0,0.58,0.0,0.11,0.63,0.0,0.01,0.08,0.05,0.0,0.0,0.16,0.0
116,3.833,0.98,0.01,0.0,1.22,0.07,0.0,0.51,0.0,0.1,0.62,0.0,0.0,0.03,0.01,0.0,0.03,0.29,0.0
117,3.867,0.98,0.01,0.0,1.21,0.08,0.0,0.43,0.0,0.07,0.61,0.0,0.0,0.02,0.04,0.0,0.05,0.29,0.0
118,3.9,0.98,0.05,0.0,1.21,0.08,0.0,0.44,0.0,0.13,0.62,0.0,0.0,0.06,0.03,0.0,0.05,0.33,0.0
119,3.933,0.98,0.05,0.0,1.17,0.04,0.0,0.5,0.0,0.11,0.61,0.0,0.0,0.1,0.05,0.0,0.02,0.22,0.0
120,3.967,0.98,0.08,0.02,1.17,0.09,0.0,0.42,0.0,0.12,0.57,0.0,0.0,0.11,0.02,0.0,0.01,0.21,0.0
121,4.0,0.98,0.14,0.06,1.14,0.09,0.0,0.46,0.0,0.04,0.52,0.0,0.0,0.12,0.02,0.0,0.01,0.19,0.0
122,4.033,0.98,0.2,0.06,1.21,0.09,0.0,0.49,0.0,0.02,0.49,0.0,0.02,0.1,0.0,0.0,0.01,0.2,0.0
123,4.067,0.98,0.2,0.04,1.23,0.0,0.0,0.44,0.0,0.0,0.5,0.0,0.07,0.13,0.0,0.0,0.01,0.21,0.0
124,4.1,0.98,0.1,0.0,1.26,0.0,0.0,0.41,0.0,0.04,0.53,0.0,0.09,0.12,0.0,0.0,0.01,0.18,0.17
125,4.133,0.98,0.11,0.0,1.26,0.0,0.0,0.57,0.06,0.11,0.6,0.0,0.11,0.1,0.1,0.0,0.02,0.25,0.65
126,4.167,0.98,0.19,0.06,1.35,0.0,0.02,0.8,0.12,0.15,0.64,0.0,0.12,0.05,0.12,0.0,0.05,0.21,1.05
127,4.2,0.98,0.19,0.06,1.39,0.0,0.02,0.9,0.15,0.18,0.66,0.0,0.1,0.03,0.19,0.0,0.12,0.27,1.02
128,4.233,0.98,0.13,0.08,1.36,0.0,0.02,0.77,0.08,0.11,0.62,0.0,0.12,0.07,0.09,0.0,0.1,0.26,0.59
129,4.267,0.98,0.02,0.04,1.33,0.0,0.0,0.76,0.03,0.07,0.62,0.0,0.06,0.11,0.07,0.01,0.09,0.26,0.25
130,4.3,0.98,0.05,0.04,1.27,0.0,0.0,0.75,0.0,0.01,0.6,0.0,0.06,0.11,0.0,0.02,0.07,0.22,0.11
131,4.333,0.98,0.05,0.02,1.31,0.02,0.0,0.71,0.02,0.01,0.6,0.0,0.0,0.13,0.0,0.03,0.1,0.12,0.06
132,4.367,0.98,0.05,0.0,1.28,0.02,0.0,0.52,0.02,0.0,0.58,0.0,0.01,0.1,0.0,0.03,0.1,0.17,0.01
133,4.4,0.98,0.07,0.0,1.34,0.02,0.0,0.59,0.02,0.0,0.57,0.0,0.01,0.12,0.0,0.01,0.06,0.17,0.04
134,4.433,0.98,0.15,0.0,1.36,0.03,0.0,0.64,0.02,0.01,0.56,0.0,0.02,0.06,0.0,0.01,0.03,0.22,0.04
135,4.467,0.98,0.21,0.01,1.38,0.03,0.0,0.67,0.05,0.01,0.55,0.0,0.03,0.04,0.0,0.0,0.01,0.18,0.03
136,4.5,0.98,0.19,0.02,1.38,0.03,0.0,0.62,0.06,0.0,0.57,0.0,0.07,0.01,0.0,0.02,0.01,0.15,0.0
137,4.533,0.98,0.18,0.02,1.43,0.0,0.0,0.75,0.06,0.02,0.58,0.0,0.06,0.02,0.01,0.02,0.04,0.08,0.04
138,4.567,0.98,0.14,0.09,1.46,0.05,0.0,0.8,0.06,0.04,0.59,0.0,0.05,0.02,0.01,0.05,0.07,0.02,0.06
139,4.6,0.98,0.18,0.09,1.4,0.09,0.0,0.79,0.05,0.05,0.59,0.0,0.01,0.1,0.01,0.03,0.07,0.0,0.06
140,4.633,0.98,0.14,0.09,1.4,0.09,0.0,0.72,0.03,0.06,0.6,0.0,0.01,0.11,0.0,0.03,0.03,0.04,0.02
141,4.667,0.98,0.15,0.0,1.38,0.04,0.0,0.83,0.02,0.07,0.61,0.0,0.0,0.15,0.0,0.0,0.0,0.07,0.02
142,4.7,0.98,0.18,0.03,1.42,0.0,0.0,0.89,0.03,0.09,0.61,0.0,0.0,0.13,0.0,0.0,0.0,0.09,0.02
143,4.733,0.98,0.2,0.03,1.38,0.0,0.0,0.87,0.04,0.08,0.6,0.0,0.0,0.16,0.0,0.0,0.0,0.09,0.02
144,4.767,0.98,0.22,0.03,1.37,0.0,0.0,0.87,0.06,0.07,0.6,0.0,0.0,0.15,0.0,0.01,0.0,0.06,0.0
145,4.8,0.98,0.15,0.0,1.42,0.0,0.0,0.9,0.07,0.05,0.58,0.0,0.0,0.1,0.01,0.01,0.0,0.05,0.0
146,4.833,0.98,0.15,0.0,1.47,0.0,0.0,0.93,0.1,0.05,0.6,0.0,0.0,0.1,0.01,0.03,0.01,0.0,0.0
147,4.867,0.98,0.11,0.0,1.52,0.0,0.0,0.88,0.11,0.04,0.6,0.0,0.0,0.1,0.01,0.02,0.01,0.0,0.0
148,4.9,0.98,0.13,0.0,1.51,0.0,0.0,0.83,0.09,0.07,0.62,0.0,0.0,0.15,0.0,0.02,0.06,0.0,0.0
149,4.933,0.98,0.12,0.0,1.54,0.0,0.0,0.85,0.06,0.1,0.6,0.0,0.0,0.14,0.0,0.02,0.05,0.0,0.0
150,4.967,0.98,0.11,0.0,1.54,0.0,0.0,0.89,0.04,0.16,0.61,0.0,0.0,0.15,0.0,0.02,0.06,0.0,0.0
