AU,悲伤_mean,积极_mean,中性_mean,悲伤_std,积极_std,中性_std,F_stat,p_value
AU06_r,0.15901080384577262,0.16822342126298961,0.3742793791574279,0.12864798897433463,0.13240127327663195,0.19337612441808383,2141.213790419809,0.0
AU17_r,0.21574041034790367,0.21904276578737014,0.45799334811529935,0.16293353891799403,0.16561195944959445,0.32771578588677847,1578.3380502393964,0.0
AU07_r,0.40710328080087216,0.42494104716227016,0.23528824833702885,0.27797279783951145,0.2851359929826244,0.2314853106866011,362.0299285758162,3.3535185167090204e-156
AU12_r,0.11787540886113589,0.12668565147881694,0.029002217294900226,0.15900885190932829,0.15797073306138726,0.1340264311704591,300.01328540366023,8.182250130774206e-130
AU14_r,0.2267385271087323,0.23746802557953642,0.044046563192904654,0.34738283934802705,0.3534749048661339,0.28683151347495744,249.54802463453697,2.880627926068109e-108
AU26_r,0.3738556844087621,0.3692356115107913,0.25526053215077604,0.4469906328077478,0.44429068173314845,0.2964000352622891,60.88210537731685,4.068515459155065e-27
AU25_r,0.44053622757458616,0.42167366107114307,0.5497782705099777,0.516566429516631,0.501034268635418,0.7317515781479834,45.27240621959898,2.3239090896421315e-20
AU10_r,0.3271800971354941,0.33539768185451635,0.2659977827050998,0.32405877855402243,0.32548129172904766,0.2551223609639495,35.92018432306878,2.6154963052983295e-16
AU09_r,0.034083159877093865,0.032807753796962436,0.04369179600886918,0.07281685248780571,0.06772149770072922,0.075862420104659,17.84607700825852,1.794188727113807e-08
AU23_r,0.06698087025473287,0.06619404476418865,0.09029933481152994,0.16015731478156517,0.155571241518337,0.34823345633414127,15.536214678729333,1.8029461753968553e-07
AU01_r,0.10745514917236594,0.10523381294964027,0.08815964523281596,0.19596919694875686,0.19189644574889067,0.18995519664040397,8.196086006116413,0.0002763101405158082
AU20_r,0.06292397660818713,0.06822641886490807,0.06263303769401331,0.10631364544244179,0.11550086377970567,0.10545591304366102,8.18199874991908,0.0002802281181769852
AU15_r,0.10877341659232828,0.11126298960831335,0.1246119733924612,0.1610325338498586,0.16189661876950948,0.24544071901962083,7.603786409275224,0.0004994617953075457
AU05_r,0.037244028149469734,0.04009192645883294,0.04309866962305987,0.08337966015458984,0.09561672184700945,0.1041435838227453,6.0643623588325815,0.002326912687233051
AU04_r,0.21505748835365252,0.22064348521183053,0.21277716186252774,0.21004891407377876,0.20995195102244962,0.1823713385111502,2.7335519091426397,0.06500322913687874
AU02_r,0.07449846367330756,0.07396282973621104,0.0824279379157428,0.1990166845272246,0.19774670770695282,0.24967758104095322,1.3968084932850455,0.2474003260804759
AU45_r,0.19290861334126277,0.19311750599520383,0.18991685144124168,0.35056875707704904,0.34564790669259693,0.3337023445034742,0.06701160701876839,0.9351844778587836
