AU,mean,std,min,max,cv
AU12_r,0.5151412521223486,0.37067010900295894,0.09843772541476317,1.0960335168075488,0.71955042908294
AU25_r,0.7113698801321753,0.4117038243770074,0.3591910752899548,1.413357778312094,0.5787479001788932
AU07_r,1.8231313700648815,0.9237958204025813,1.0923815789473683,3.3591339628208905,0.5067083127255417
AU06_r,1.437209391723173,0.697436934496177,0.3995165692007797,2.235767151562807,0.48527162326706624
AU15_r,0.18721271999396533,0.08292340885712296,0.11146850204376052,0.32504239766081877,0.4429368306800731
AU17_r,0.5651779677148709,0.23186288191519988,0.39993709455474735,0.9652480506822612,0.41024755945931246
AU09_r,0.08255084126551188,0.03120691051122316,0.044645347439288295,0.1244490859052487,0.37803261641938946
AU04_r,1.2090644712247303,0.45347665472608617,0.6436810268515787,1.8600668370355808,0.3750640809639653
AU01_r,0.15195522373651488,0.04809318229217892,0.08299591247896129,0.2081533392347792,0.3164957486132286
AU14_r,0.7697720907795446,0.23411348019285005,0.463187134502924,1.0554131012097963,0.3041335000282544
AU02_r,0.08755396636579185,0.026483154754376084,0.05260759798028373,0.12301218323586745,0.30247806985387815
AU45_r,0.1767682454149843,0.04399996881320252,0.1332691173579713,0.24292957607947277,0.24891330855215205
AU26_r,0.7285066688746212,0.15583655409023633,0.4677899085275893,0.8595263157894737,0.21391232331609086
AU05_r,0.05943387721719491,0.011585786204090506,0.041210026448665546,0.06980574407396478,0.19493572936107562
AU20_r,0.14345144176218752,0.026028411597760814,0.11155396107725575,0.18109649122807017,0.18144405715287598
AU10_r,1.99820156585365,0.3332150693595915,1.5914195906432747,2.444508295263285,0.16675748585815914
AU23_r,0.1955531455209785,0.027882903428957138,0.16703656379005308,0.22725354652560714,0.14258478611874809
