AU,F_value,p_value
AU04_r,1301.4385172933232,0.0
AU10_r,934.2096194727469,0.0
AU23_r,717.8189762163041,1.7161650697662435e-305
AU14_r,463.5725600860839,4.1188371503465827e-199
AU12_r,403.43572855351294,1.056211670160478e-173
AU25_r,370.28787003197124,1.175791858074982e-159
AU01_r,227.92811329187234,5.374407062478761e-99
AU20_r,192.05832377524473,1.2614764465847662e-83
AU06_r,119.17940699747076,2.7436205448822823e-52
AU09_r,102.4147809584712,4.65172441751311e-45
AU45_r,65.4300134314198,4.40255587773174e-29
AU07_r,41.6476192261631,8.646499531871342e-19
AU26_r,32.39333114247471,8.83860607322133e-15
AU15_r,21.260929235487225,5.926530086420857e-10
AU05_r,10.466180037562866,2.8584086271306755e-05
AU17_r,6.0953225868384715,0.002256075193376627
AU02_r,4.0123957538969774,0.018099366711677802
