emotion,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
悲伤,0.0822277501381979,0.040486456605859596,1.222692095080155,0.061376451077943615,0.01803206191265893,0.7656605859590934,0.028745163073521287,0.1511111111111111,0.6027584300718629,0.00289110005527916,0.06130458817025981,0.14212824765063573,0.04296849087893864,0.031746821448313985,0.10809839690436707,0.11546710889994473,0.27136539524599224
中性,0.06777045579352005,0.04095551894563427,1.121570565623284,0.023887973640856673,0.7849313563975838,1.9469796814936846,0.021938495332235037,0.209835255354201,0.31407468423942886,0.0,0.06269082921471719,0.22613399231191655,0.04263591433278419,0.059736408566721584,0.18266886326194398,0.14182317408017572,0.18947281713344316
积极,0.28305032330615687,0.19632555524318243,1.5411582794489738,0.03517852122575204,0.8242057913972448,1.6679420860275513,0.14369412426201855,1.268487489457408,1.255760472308125,0.006364914253584483,0.15064942367163336,0.9028732077593478,0.09734888951363509,0.219322462749508,1.1208434073657576,0.33853809389935335,0.1735029519257802
