AU,Male_M1,Male_M2,Male_Avg,Female_F1,Male_Internal_Diff,Gender_Diff(M-F)
AU01,0.09978423236514525,0.28305032330615687,0.19141727783565105,0.11370654396728017,0.18326609094101162,0.07771073386837088
AU02,0.05887966804979253,0.19632555524318243,0.12760261164648748,0.05229038854805725,0.1374458871933899,0.07531222309843022
AU04,1.4940553250345783,1.5411582794489738,1.517606802241776,0.50719836400818,0.04710295441439549,1.010408438233596
AU05,0.03914522821576764,0.03517852122575204,0.03716187472075984,0.035,0.003966706990015598,0.002161874720759835
AU06,0.2749211618257261,0.8242057913972448,0.5495634766114854,0.08474948875255624,0.5492846295715187,0.4648139878589292
AU07,1.349524204702628,1.6679420860275513,1.5087331453650896,0.5250357873210634,0.31841788132492344,0.9836973580440262
AU09,0.0357344398340249,0.14369412426201855,0.08971428204802173,0.04090490797546013,0.10795968442799365,0.048809374072561605
AU10,0.6653195020746888,1.268487489457408,0.9669034957660485,0.8193865030674847,0.6031679873827193,0.14751699269856378
AU12,1.1879197786998617,1.255760472308125,1.2218401255039932,0.7546625766871166,0.06784069360826339,0.4671775488168767
AU14,0.2613914246196404,0.006364914253584483,0.13387816943661243,0.0504038854805726,0.2550265103660559,0.08347428395603984
AU15,0.08250069156293223,0.15064942367163336,0.11657505761728279,0.07925869120654398,0.06814873210870113,0.03731636641073881
AU17,0.22034301521438449,0.9028732077593478,0.5616081114868661,0.19212167689161552,0.6825301925449633,0.36948643459525055
AU20,0.05609405255878285,0.09734888951363509,0.07672147103620897,0.08954498977505111,0.041254836954852235,-0.012823518738842146
AU23,0.04891009681881051,0.219322462749508,0.13411627978415927,0.07457055214723927,0.1704123659306975,0.059545727636919996
AU25,0.13195297372060857,1.1208434073657576,0.6263981905431831,0.17922801635991822,0.9888904336451491,0.4471701741832649
AU26,0.17148547717842325,0.33853809389935335,0.2550117855388883,0.12539877300613497,0.1670526167209301,0.12961301253275334
AU45,0.22992254495159062,0.1735029519257802,0.20171274843868542,0.12618098159509203,0.05641959302581043,0.07553176684359339
