frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
19,0,0.6,0.93,1,0.0,0.0,0.0,0.0,0.92,1.12,0.19,0.56,0.65,0.58,0.17,1.6,0.0,0.0,0.0,1.2,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
20,0,0.633,0.98,1,0.0,0.0,0.17,0.0,0.99,1.42,0.29,0.52,0.52,0.55,0.32,1.8,0.0,0.0,0.0,1.22,0.02,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
21,0,0.667,0.98,1,0.0,0.0,0.26,0.0,1.08,1.55,0.51,0.67,0.43,0.49,0.44,1.79,0.0,0.0,0.0,1.32,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
22,0,0.7,0.98,1,0.0,0.0,0.36,0.0,1.1,1.65,0.7,0.71,0.39,0.45,0.61,1.66,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
23,0,0.733,0.98,1,0.0,0.0,0.27,0.0,1.09,1.49,0.78,0.82,0.41,0.53,0.65,1.57,0.0,0.0,0.0,1.26,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,积极
24,0,0.767,0.98,1,0.0,0.0,0.32,0.0,1.03,1.54,0.7,0.87,0.48,0.55,0.83,1.48,0.0,0.0,0.0,1.33,0.01,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,积极
25,0,0.8,0.98,1,0.0,0.0,0.34,0.0,0.97,1.57,0.66,0.91,0.55,0.55,0.89,1.56,0.0,0.0,0.0,1.33,0.04,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,积极
26,0,0.833,0.98,1,0.0,0.0,0.36,0.0,0.93,1.66,0.62,0.93,0.58,0.48,0.98,1.6,0.0,0.0,0.0,1.42,0.16,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,积极
27,0,0.867,0.98,1,0.0,0.0,0.26,0.0,0.97,1.72,0.61,0.97,0.57,0.44,1.0,1.69,0.0,0.0,0.0,1.48,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,积极
28,0,0.9,0.98,1,0.0,0.0,0.27,0.0,1.03,1.56,0.63,0.98,0.54,0.37,0.82,1.55,0.0,0.0,0.01,1.46,0.23,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,积极
29,0,0.933,0.98,1,0.0,0.0,0.16,0.0,1.04,1.33,0.63,0.96,0.51,0.38,0.74,1.42,0.0,0.0,0.07,1.38,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,积极
30,0,0.967,0.98,1,0.0,0.0,0.13,0.0,1.03,1.3,0.66,0.91,0.47,0.4,0.58,1.22,0.0,0.0,0.15,1.32,0.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,积极
31,0,1.0,0.98,1,0.0,0.0,0.05,0.0,0.94,1.4,0.64,0.73,0.41,0.44,0.61,1.15,0.0,0.0,0.24,1.31,0.19,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,积极
32,0,1.033,0.98,1,0.0,0.0,0.07,0.0,0.96,1.62,0.66,0.66,0.37,0.54,0.5,0.92,0.0,0.0,0.32,1.34,0.2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,积极
33,0,1.067,0.98,1,0.0,0.0,0.06,0.0,0.99,1.63,0.58,0.6,0.36,0.54,0.48,0.8,0.0,0.0,0.33,1.34,0.25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,积极
34,0,1.1,0.98,1,0.0,0.0,0.1,0.0,1.06,1.61,0.58,0.66,0.35,0.48,0.45,0.61,0.0,0.0,0.35,1.33,0.19,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,积极
35,0,1.133,0.98,1,0.0,0.0,0.14,0.0,1.1,1.55,0.56,0.72,0.37,0.37,0.54,0.68,0.0,0.0,0.28,1.33,0.25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,积极
36,0,1.167,0.98,1,0.0,0.0,0.2,0.0,1.12,1.55,0.61,0.76,0.36,0.35,0.62,0.82,0.0,0.0,0.2,1.29,0.26,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,积极
37,0,1.2,0.98,1,0.0,0.0,0.17,0.0,1.14,1.42,0.56,0.79,0.38,0.34,0.62,1.01,0.0,0.0,0.16,1.19,0.28,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,积极
38,0,1.233,0.98,1,0.0,0.0,0.21,0.0,1.14,1.5,0.52,0.82,0.41,0.28,0.68,0.97,0.0,0.0,0.24,1.09,0.28,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,积极
39,0,1.267,0.98,1,0.0,0.0,0.35,0.0,1.15,1.52,0.47,0.93,0.44,0.28,0.52,0.84,0.0,0.0,0.4,1.09,0.24,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,积极
40,0,1.3,0.98,1,0.0,0.0,0.58,0.0,1.13,1.57,0.49,0.9,0.45,0.36,0.44,0.72,0.0,0.0,0.5,1.21,0.18,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
41,0,1.333,0.98,1,0.0,0.0,0.57,0.0,1.12,1.46,0.61,0.96,0.46,0.37,0.28,0.57,0.0,0.0,0.7,1.38,0.06,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
42,0,1.367,0.98,1,0.0,0.0,0.55,0.0,1.15,1.39,0.76,0.95,0.46,0.45,0.32,0.41,0.0,0.0,0.83,1.41,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
43,0,1.4,0.98,1,0.0,0.0,0.54,0.0,1.22,1.7,0.84,1.05,0.49,0.43,0.2,0.19,0.0,0.0,1.09,1.49,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
44,0,1.433,0.98,1,0.0,0.0,0.64,0.13,1.27,1.76,0.85,1.0,0.46,0.6,0.1,0.08,0.0,0.0,1.33,1.64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
45,0,1.467,0.98,1,0.0,0.0,0.62,0.13,1.24,1.93,0.84,1.0,0.48,0.69,0.0,0.0,0.0,0.0,1.67,1.92,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
46,0,1.5,0.98,1,0.0,0.0,0.51,0.13,1.22,1.76,0.81,0.96,0.5,0.9,0.0,0.0,0.0,0.0,1.78,2.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
47,0,1.533,0.98,1,0.0,0.0,0.47,0.0,1.27,1.74,0.85,0.91,0.63,1.19,0.03,0.4,0.0,0.0,1.51,1.95,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
