AU,F_value,p_value
AU06_r,31279.31940719768,0.0
AU14_r,29648.98656650045,0.0
AU12_r,25417.620203353206,0.0
AU07_r,14334.39976600987,0.0
AU17_r,13654.138104190815,0.0
AU04_r,12631.287089425112,0.0
AU10_r,5542.2663970390695,0.0
AU25_r,2334.2045364943097,0.0
AU20_r,520.7175590815456,3.41048693346542e-223
AU23_r,288.99966126100264,4.293671016298311e-125
AU26_r,243.0500105063769,1.7999918057168657e-105
AU15_r,240.68951275464354,1.8400638809908225e-104
AU01_r,125.86100375354694,3.611537629066353e-55
AU09_r,101.38304712585993,1.2935390327881534e-44
AU45_r,87.81240383886318,9.333750912547563e-39
AU05_r,40.08807546122489,4.094589795945936e-18
AU02_r,23.835830532598855,4.5300027460514845e-11
