AU,mean,std,min,max,cv
AU07_r,1.4666708694121071,1.0585453496666357,0.40710328080087216,3.1417498502695147,0.7217333975487886
AU06_r,0.9957854175150884,0.6867612005387577,0.15901080384577262,1.996990417248952,0.6896678626330172
AU10_r,0.9836862534920131,0.6664894813755478,0.3271800971354941,1.9696705929327212,0.6775427419154834
AU14_r,0.6950969796418651,0.4400164814658215,0.2267385271087323,1.317039329207427,0.6330289072648988
AU04_r,0.7648881574949844,0.4575920517551449,0.21505748835365252,1.486112996606109,0.5982470081034631
AU12_r,0.47259744585336994,0.2727436736397797,0.11787540886113589,0.7525873427829907,0.5771162667781372
AU23_r,0.11114653428224276,0.03669168031762372,0.06698087025473287,0.16013382117081,0.330119877822279
AU05_r,0.059110027540308904,0.0176142060888137,0.037244028149469734,0.08645754245754246,0.2979901519552168
AU17_r,0.40657344013526997,0.11560915300426962,0.21574041034790367,0.5168041958041958,0.2843499884444139
AU02_r,0.08775289132274428,0.02483286450010644,0.06640236567762631,0.12991908091908091,0.282986282569018
AU45_r,0.19846085882928374,0.05472635538321666,0.15215284715284716,0.2894290277500499,0.27575389780154247
AU01_r,0.1420743185783658,0.03587939295076329,0.10745514917236594,0.19789410589410592,0.2525396096196852
AU09_r,0.05130863288490284,0.012900802265115452,0.034083159877093865,0.06789745388933441,0.2514353148729365
AU25_r,0.4420796686516582,0.10391626621045125,0.27663836163836164,0.5562249398556536,0.23506230568665504
AU26_r,0.39321786045532786,0.08837030113620706,0.3222757242757242,0.5426583801122694,0.22473623409139756
AU20_r,0.0836114729324289,0.015506881519575506,0.06292397660818713,0.10085945298462767,0.1854635611085034
AU15_r,0.138474800361378,0.018004400973542802,0.10877341659232828,0.1572180075863446,0.13001933150693612
