frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
53,  0,  0.867,  0.98,  1, 0.00, 0.00, 0.77, 0.00, 1.96, 1.29, 0.00, 2.24, 1.85, 1.77, 0.03, 0.00, 0.00, 0.05, 0.30, 0.77, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  0.883,  0.98,  1, 0.00, 0.00, 0.87, 0.00, 2.03, 1.38, 0.00, 2.25, 1.86, 1.77, 0.06, 0.00, 0.00, 0.00, 0.23, 0.74, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  0.900,  0.98,  1, 0.00, 0.00, 0.82, 0.00, 2.07, 1.55, 0.00, 2.21, 1.86, 1.82, 0.07, 0.00, 0.00, 0.01, 0.20, 0.57, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56,  0,  0.917,  0.98,  1, 0.00, 0.00, 0.78, 0.00, 2.11, 1.44, 0.00, 2.18, 1.88, 1.83, 0.07, 0.03, 0.00, 0.04, 0.20, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  0.933,  0.98,  1, 0.00, 0.00, 0.72, 0.00, 2.10, 1.11, 0.00, 2.19, 1.94, 1.83, 0.04, 0.06, 0.00, 0.06, 0.15, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  0.950,  0.98,  1, 0.00, 0.00, 0.69, 0.00, 2.09, 0.94, 0.00, 2.17, 1.96, 1.79, 0.00, 0.06, 0.00, 0.09, 0.15, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59,  0,  0.967,  0.98,  1, 0.00, 0.00, 0.68, 0.00, 2.06, 0.80, 0.00, 2.12, 1.93, 1.75, 0.00, 0.04, 0.00, 0.06, 0.21, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60,  0,  0.983,  0.98,  1, 0.00, 0.00, 0.65, 0.00, 2.07, 1.01, 0.00, 2.11, 1.91, 1.60, 0.00, 0.00, 0.00, 0.04, 0.46, 0.49, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
61,  0,  1.000,  0.98,  1, 0.00, 0.00, 0.63, 0.04, 2.09, 1.03, 0.00, 2.11, 1.96, 1.55, 0.00, 0.00, 0.00, 0.01, 0.54, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
62,  0,  1.017,  0.98,  1, 0.00, 0.00, 0.68, 0.04, 2.14, 1.06, 0.00, 2.16, 1.99, 1.60, 0.00, 0.00, 0.00, 0.02, 0.55, 0.46, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
