AU,悲伤_mean,积极_mean,中性_mean,悲伤_std,积极_std,中性_std,F_stat,p_value
AU06_r,0.6216439454691259,0.8775998330318631,0.3864765840220386,0.5730472174276693,0.27841375633921017,0.15289496161222163,1368.5618071947838,0.0
AU17_r,0.4181911587810746,0.24366634200640044,0.21491460055096417,0.34958065861045473,0.18391423487419384,0.25329221983669203,1266.4024926892635,0.0
AU10_r,0.4193288893344026,0.39858494503965497,0.008096418732782369,0.6097442389889073,0.2744261018726957,0.03911326440913956,1022.3993762901978,0.0
AU25_r,0.5562249398556536,0.27132739668846534,0.17133608815426998,0.8060986485526275,0.467255520896445,0.184993499976981,771.8154850328226,0.0
AU15_r,0.1452014835605453,0.08515653262835675,0.0654214876033058,0.20467314952707874,0.1223194847027347,0.11380025166637259,498.8314902802734,6.289833522622449e-214
AU12_r,0.2971937650360866,0.4027354946431056,0.14209917355371898,0.5839651836805179,0.2703853801816246,0.1268406130890007,345.92223892051743,2.7047978513226174e-149
AU26_r,0.5426583801122694,0.3408167524697371,0.39198347107438014,0.6864980268537121,0.5820833009141775,0.6589115992259988,281.56063631947944,6.689114827613462e-122
AU07_r,0.7322579190056135,0.6307165715875888,0.5082506887052342,0.7085449918322203,0.402078364529267,0.3616244310969495,236.13654693659726,1.6840498114313346e-102
AU23_r,0.16013382117081,0.08551412272158063,0.12132506887052343,0.2954783495062512,0.18636257912191714,0.3771246611303864,187.58869751529954,1.0568154963478397e-81
AU01_r,0.11400611467522054,0.1337386948657298,0.07353719008264463,0.16089351353355952,0.21143372883157638,0.11205565136383208,152.24459296214104,1.6071568003108166e-66
AU14_r,0.33858009222133123,0.3701669681369139,0.2626446280991736,0.3906092999419166,0.27463296265514225,0.24946544037645185,113.08816140024386,1.1643535039599887e-49
AU09_r,0.06789745388933441,0.0429483790176708,0.05136639118457301,0.13709154141404328,0.08248153454515303,0.20521977918446158,96.13076018838878,2.4035245598849883e-42
AU05_r,0.05630212510024059,0.05982329205509948,0.03406611570247934,0.13716626239710247,0.16561024499186477,0.0877408281758804,45.70813609666686,1.5088364199365813e-20
AU02_r,0.06640236567762631,0.05633226659245861,0.046049586776859504,0.14633414134998068,0.12253179921227125,0.09629407305405088,41.57481116618484,9.303452701839693e-19
AU45_r,0.15935294707297512,0.14827466258522334,0.1901184573002755,0.3037845147513317,0.31996360535871465,0.4601131281011917,19.700410499094136,2.816399660781969e-09
AU04_r,0.6932432838813152,0.683542507304856,0.6482011019283748,0.4294704752236353,0.4090195711305675,0.3369641458539354,18.226006033630856,1.2280940444828221e-08
AU20_r,0.0960660585404972,0.08488381800473076,0.10206060606060606,0.16933317212637308,0.1492792283553583,0.1802450021213219,16.600809023860396,6.226552409870029e-08
