AU,mean,std,min,max,cv
AU12_r,0.7225797753113229,0.5579941587487447,0.21360219263899766,1.4993161966558524,0.7722249885949733
AU04_r,1.0428587600083785,0.5587646085163326,0.25476115896632734,1.4869421487603307,0.5358008485366161
AU23_r,0.09506844291146299,0.04922643865860362,0.04729473421512354,0.16280866614460976,0.5177999886297505
AU14_r,1.2070673831719216,0.51056052231471,0.6618533020099192,1.8896308539944906,0.42297599076288794
AU26_r,0.40470919850114256,0.16302106543398542,0.2709641873278237,0.6342101322685301,0.40281037850817514
AU02_r,0.1091532257751956,0.04291087935819723,0.07867217630853995,0.1698381623596972,0.39312516009901066
AU07_r,2.2626270408470615,0.8580354740696003,1.065547791365111,3.0331790633608815,0.3792209049832521
AU10_r,1.630956298910002,0.5927267238501958,0.8510154006786739,2.2869278762166214,0.36342281166351664
AU05_r,0.05538399335463731,0.019069753030235875,0.03353168044077135,0.079997389715479,0.34431885234651755
AU45_r,0.2099739407296101,0.05369333689576676,0.16257050162216122,0.28504829026363876,0.2557142886836101
AU06_r,1.7944272664285439,0.3948951231799191,1.4167267032106499,2.3395358123284256,0.2200675004041153
AU25_r,0.3067181217770671,0.062426142672972015,0.23719394413991124,0.3886005509641874,0.2035293588500304
AU01_r,0.16064153004886741,0.029687670970846496,0.1348440229598203,0.2022265726964239,0.184806948500898
AU09_r,0.0517574103245776,0.008044460711194548,0.04107062640379336,0.06047933884297521,0.1554262599451299
AU20_r,0.10904020890340275,0.014807620611073711,0.0883254304966309,0.12205690420255809,0.13579963538213305
AU15_r,0.1373045053259664,0.015978825397992703,0.11480440771349862,0.15036935363114548,0.11637509898206423
AU17_r,0.4169002359501663,0.01113123640572759,0.40338158223109555,0.4306446280991735,0.026700000253917222
