,N_1s,N_2s,N_3s,N_4s,N_5s,N_6s,N_7s,N_8s,N_9s,N_10s,N_11s,N_12s,N_13s,N_14s,N_15s,P1_1s,P1_2s,P1_3s,P1_4s,P1_5s,P1_6s,P1_7s,P1_8s,P1_9s,P1_10s,P1_11s,P1_12s,P1_13s,P1_14s,P1_15s,P2_1s,P2_2s,P2_3s,P2_4s,P2_5s,P2_6s,P2_7s,P2_8s,P2_9s,P2_10s,P2_11s,P2_12s,P2_13s,P2_14s,P2_15s
AU07_U4,37.31,26.08,36.56,38.2,38.76,43.3,42.29,56.54,70.48,62.04,39.89,67.0,73.99,68.2,62.29,78.35,92.47,95.98,84.64,70.62,56.82,69.58,66.65,66.43,69.47,85.54,81.49,76.79,80.46,74.14,88.04,86.42,102.34,107.51,113.23,131.61,132.12,114.00999999999999,101.0,100.26,110.3,120.77,110.76,103.24,98.78
AU09_U4,0.55,0.87,0.46,0.1,1.29,0.29,0.0,0.19,0.36,0.39,0.0,0.25,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.22,0.39,0.4,0.0,0.06,0.0,1.84,4.79,5.61,3.38,0.86,0.66,1.2,1.3,2.58,10.450000000000001,2.63,9.72,7.79,5.01,1.7
AU10_U4,127.63,127.75,143.15,141.1,145.26,142.46,143.47,142.75,152.69,136.5,131.37,130.85999999999999,124.18,136.15,127.94,135.73,146.01,149.38,141.07,130.89,122.48,139.2,148.78,142.35,145.95,136.7,142.83,139.76,139.61,142.94,150.65,146.89000000000001,153.35,143.43,132.75,146.74,139.55,137.21,127.91,151.52,145.92,148.44,145.11,147.28,145.23
AU12_U4,98.01,90.88,86.86,82.5,87.16,91.12,89.33,90.56,93.51,86.02,83.21,84.26,78.24,80.03,73.66,54.39,61.59,67.22,67.78999999999999,63.1,62.29,64.39,67.08,65.73,70.0,70.74,68.35,69.06,65.39,61.28,89.64999999999999,90.16,94.26,93.39,91.55,92.03,88.15,86.71,91.8,99.44,100.96,101.08,101.43,107.1,106.37
AU14_U4,72.43,68.06,81.72,74.03,77.53,68.14,61.85,73.61,67.43,52.34,54.27,58.03,58.160000000000004,59.03,60.01,22.7,40.77,56.46,53.35,50.95,48.14,57.52,47.24,62.21,55.05,60.2,49.45,54.41,52.21,43.6,41.14,47.18,60.07,56.06,60.35,61.96,61.72,62.93,68.57,67.13,62.77,61.16,77.38,83.5,82.05
AU15_U4,5.7,4.67,2.07,0.0,0.8500000000000001,0.12,2.15,3.25,0.81,4.54,16.21,8.06,17.16,14.88,29.23,37.96,43.15,25.77,22.66,24.88,5.17,9.23,8.23,3.66,7.82,3.01,4.22,2.44,3.72,2.63,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU17_U4,20.03,27.53,27.34,33.44,26.55,47.69,61.98,60.82,60.74,61.85,63.54,55.85,52.11,68.49,72.77,70.41,63.63,68.65,60.9,66.33,29.61,38.17,36.410000000000004,35.07,38.06,33.37,35.95,31.65,28.52,29.58,4.88,1.18,2.36,4.13,11.92,16.72,8.290000000000001,1.91,0.71,2.34,1.87,3.82,6.64,5.46,10.2
AU20_U4,11.12,5.05,3.66,10.75,9.35,8.69,10.44,30.07,12.25,12.57,23.58,28.26,9.34,1.94,9.3,1.35,0.06,0.0,0.0,0.52,1.74,0.51,0.39,0.79,0.42000000000000004,0.0,0.07,0.03,0.39,6.87,2.81,3.1,3.7,7.16,19.990000000000002,25.17,10.08,7.73,3.64,0.0,0.03,0.0,0.0,0.09,0.03
AU23_U4,0.0,0.0,0.56,0.18,0.06,0.09,0.33,0.0,0.39,0.06,1.37,0.43,0.13,3.7,6.15,14.32,11.09,19.13,14.29,11.06,15.66,19.69,14.86,15.06,18.8,18.57,15.44,18.56,16.6,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.08,0.0,0.0,0.0,0.0,0.0,0.0
AU25_U4,0.8300000000000001,3.13,3.91,4.72,4.15,0.9700000000000001,0.9500000000000001,1.82,2.5300000000000002,3.31,0.33,0.33,0.15,0.0,0.09,0.06,0.0,0.12,2.89,0.9,3.38,1.23,3.22,2.41,5.19,6.92,5.5,2.5700000000000003,4.0,3.0300000000000002,36.51,28.1,41.26,39.15,30.18,34.29,30.09,48.44,49.61,35.79,38.98,28.83,31.77,30.06,32.52
AU26_U4,10.74,17.21,2.79,8.5,7.63,16.36,18.83,29.45,40.95,46.96,56.68,52.03,40.62,50.06,46.2,6.71,0.7100000000000001,2.44,11.67,25.13,1.12,1.6400000000000001,0.12,1.81,1.05,0.39,0.64,6.2,1.77,0.0,8.47,2.66,1.33,15.07,39.11,48.36,38.48,26.82,23.2,6.890000000000001,6.96,3.45,1.99,7.41,10.79
AU45_U4,5.77,9.77,12.25,20.39,10.78,9.25,13.46,25.16,44.1,38.23,25.79,34.77,23.05,3.82,15.01,6.69,3.2,0.96,7.64,13.59,11.31,0.0,0.86,0.18,0.27,0.09,0.21000000000000002,0.0,0.03,0.0,0.03,1.48,9.040000000000001,4.29,19.36,18.52,3.92,0.61,0.9,1.84,0.44000000000000006,0.79,0.9,5.33,2.67
