,N_1s,N_2s,N_3s,N_4s,N_5s,N_6s,N_7s,N_8s,N_9s,N_10s,N_11s,N_12s,N_13s,N_14s,N_15s,P1_1s,P1_2s,P1_3s,P1_4s,P1_5s,P1_6s,P1_7s,P1_8s,P1_9s,P1_10s,P1_11s,P1_12s,P1_13s,P1_14s,P1_15s,P2_1s,P2_2s,P2_3s,P2_4s,P2_5s,P2_6s,P2_7s,P2_8s,P2_9s,P2_10s,P2_11s,P2_12s,P2_13s,P2_14s,P2_15s
AU25_U1,10.5,19.95,24.2,37.97,33.36,52.97,57.61,41.11,25.5,10.51,9.47,1.69,2.5300000000000002,3.99,8.36,36.81,35.42,21.64,33.51,29.39,19.88,18.45,33.32,18.38,14.24,24.01,26.29,25.86,14.83,15.32,2.08,5.76,4.59,1.51,4.48,14.88,6.35,25.76,20.71,1.34,9.92,10.18,14.37,22.2,6.640000000000001
AU26_U1,35.74,26.41,50.56,66.87,59.7,83.27,90.69,84.68,26.12,2.38,2.5500000000000003,0.0,0.0,0.0,0.65,89.88,88.92,80.86,82.46,88.47,96.89,111.08,67.1,59.410000000000004,44.63,57.35,65.66,67.09,67.69,57.97,0.34,3.29,0.03,0.44,0.06,0.5700000000000001,0.0,6.11,30.33,5.0600000000000005,6.95,15.9,17.32,16.77,0.03
AU45_U1,7.96,8.04,25.23,8.65,0.47000000000000003,2.14,10.68,20.95,8.93,13.26,10.700000000000001,3.65,8.68,16.9,0.0,16.46,4.5600000000000005,16.51,6.7700000000000005,17.35,12.209999999999999,11.99,25.85,39.15,7.25,4.26,2.16,11.24,1.8599999999999999,2.2600000000000002,0.99,0.0,0.0,0.16,0.98,1.6400000000000001,3.26,17.96,26.7,13.32,5.96,13.43,26.41,21.93,2.3
AU01_U2,9.26,9.81,20.43,24.830000000000002,38.65,37.49,40.66,43.31,34.21,28.650000000000002,20.0,22.49,2.26,0.0,1.1,3.71,2.83,1.23,3.02,0.38,1.54,0.5700000000000001,4.82,7.01,8.16,5.16,4.13,1.73,4.25,10.97,0.36,0.98,0.0,0.0,0.8200000000000001,0.65,1.59,5.05,4.33,1.85,11.92,14.14,8.42,0.51,5.25
AU02_U2,4.72,5.26,9.5,21.73,29.01,18.35,13.22,20.32,27.77,24.62,9.8,6.73,0.6,0.0,0.0,4.88,0.42000000000000004,1.06,0.12,0.0,0.0,0.8300000000000001,0.9,6.01,8.84,5.05,1.31,2.0,3.81,2.23,0.06,2.15,0.8,1.32,13.37,0.33,0.06,2.84,8.39,0.16,6.0200000000000005,2.81,0.37,0.78,1.75
AU04_U2,89.55,92.37,91.03,84.8,87.45,95.82000000000001,84.21,85.69,92.87,92.8,95.72,96.23,84.78,74.84,83.14,130.67,120.92,115.49,118.38,124.56,121.64,121.17,133.16,130.94,128.54,130.7,124.88,126.03,130.49,132.47,131.94,129.8,134.1,133.44,134.41,124.74,124.67999999999999,134.96,124.38,119.42999999999999,138.39000000000001,124.69,137.19,124.81,118.67
AU05_U2,2.47,4.5200000000000005,5.3,2.44,0.0,0.21000000000000002,0.03,0.09,0.0,0.74,0.03,0.03,0.9,3.73,6.13,1.3,8.85,13.9,10.02,9.49,8.85,4.8100000000000005,7.38,21.21,19.64,6.7,3.75,14.95,10.44,0.36,0.12000000000000001,0.12,0.0,0.0,0.36,0.15000000000000002,0.0,1.07,0.51,0.25,0.52,0.0,0.99,0.30000000000000004,0.15
AU06_U2,177.01,164.63,161.71,164.35,169.64,166.45,166.34,163.45,163.33,163.08,159.81,160.29,140.32,127.85,126.59,135.89,107.77,104.86,114.15,107.15,105.67,122.53999999999999,116.78,117.32,118.00999999999999,121.59,113.14,111.07000000000001,113.8,115.53,152.13,145.47,143.13,144.66,151.14,153.16,154.38,157.06,153.45,154.66,162.8,162.16,159.67,163.16,164.96
AU07_U2,78.7,93.43,84.4,56.28,55.26,55.11,61.43,64.46,53.01,84.92,58.3,78.78,67.13,90.39,78.67,65.51,67.91,57.65,77.15,74.02,62.92,67.97,50.61,60.9,83.41,83.8,66.83,65.12,62.59,73.86,92.99,92.58,100.43,102.96,95.72,75.77,76.87,101.97,110.25,74.07,116.51,113.77,124.2,113.45,94.8
AU09_U2,0.45,1.07,1.38,0.0,4.15,5.39,13.02,16.57,4.79,0.31,2.07,3.8600000000000003,4.39,6.18,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,4.6,5.98,5.3,2.91,5.71,5.83,1.46,1.87,0.57,7.97,2.88,3.56,9.63,5.66
AU10_U2,151.32,150.43,145.84,134.2,147.44,151.68,153.52,152.07999999999998,145.89,139.69,143.58,139.34,132.83,137.54,129.18,124.75,121.06,114.33,113.75,110.83,111.14,124.52,131.94,121.67,118.42999999999999,119.4,119.71,119.45,120.81,119.78,145.63,135.4,129.69,133.94,131.3,144.6,148.65,142.54,136.48,138.07999999999998,137.53,152.73,146.96,154.33,135.12
AU12_U2,112.15,105.71,102.02,99.94,100.58,94.19,95.84,100.50999999999999,94.89,96.46,97.42999999999999,100.0,87.25,78.7,83.33,50.98,48.12,41.74,50.07,47.6,50.34,60.38,62.18,59.59,59.72,61.62,57.91,58.36,58.54,53.2,80.31,73.78999999999999,71.46,76.91,82.38,81.65,77.47,76.67,79.96,82.68,82.05,88.47,84.62,92.91,88.7
AU14_U2,80.52,74.54,77.96,84.28,90.18,82.75,94.69,91.64,90.79,76.95,79.68,76.75,45.38,50.67,47.18,37.36,33.2,28.35,23.18,20.57,12.45,27.13,37.59,42.35,46.35,44.46,49.06,47.980000000000004,46.19,42.57,58.56,57.79,65.9,66.23,71.69,68.86,68.63,59.8,72.24,69.15,53.78,63.6,71.8,73.22,64.6
AU15_U2,0.0,0.0,0.54,0.0,0.47000000000000003,0.27,0.0,0.03,0.05,1.82,0.33,0.21000000000000002,7.18,24.98,28.05,23.990000000000002,20.75,24.17,18.46,27.29,20.64,30.98,36.23,31.95,30.2,31.29,30.11,38.61,33.95,31.41,3.06,0.21000000000000002,0.12,0.34,0.0,0.0,0.33,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
AU17_U2,5.8,10.03,9.35,1.78,8.18,8.74,15.73,6.25,7.48,18.01,5.11,5.28,11.83,8.84,11.14,53.3,56.23,57.86,66.22,70.15,58.36,69.21,69.01,82.3,80.4,63.78,67.2,80.5,64.67,77.59,23.45,17.92,8.08,2.38,3.45,5.83,9.81,16.57,16.14,15.11,0.42,0.11,1.23,0.06,0.0
AU20_U2,0.0,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.65,0.03,0.06,0.87,1.1400000000000001,8.64,2.15,8.01,6.62,2.1,0.15,0.01,0.08,0.44,2.21,0.16,0.87,16.19,13.78,7.98,5.68,8.14,8.57,9.3,4.3,5.71,4.6,5.72,15.05,20.5,12.6,13.24
AU23_U2,8.0,3.49,2.36,2.53,3.36,0.66,0.03,0.0,0.03,0.0,0.03,0.12,0.2,6.96,14.33,0.42,0.16,0.91,0.75,4.36,0.53,0.03,0.0,0.48,1.18,0.07,0.45,2.5100000000000002,1.54,0.6900000000000001,1.36,2.8200000000000003,2.36,0.39,0.43,0.66,3.0100000000000002,4.13,12.01,4.14,0.06,0.16,0.0,0.06,0.35000000000000003
AU25_U2,11.06,13.46,13.77,9.19,15.82,10.16,15.48,26.85,19.88,9.75,11.42,18.95,29.08,10.46,10.290000000000001,15.53,31.93,31.56,28.21,22.64,27.2,8.36,0.0,0.0,0.0,0.30000000000000004,0.06,0.0,0.0,1.11,9.55,10.92,23.36,19.95,27.37,12.77,10.37,16.91,15.63,19.77,57.07,42.37,44.95,54.18,48.29
AU26_U2,0.03,0.39,0.95,0.12,0.5,0.09,1.94,0.66,0.45999999999999996,0.2,1.3,2.07,42.73,59.4,75.49,59.25,106.13,134.44,135.67000000000002,134.23,135.05,63.68,18.55,31.29,35.56,34.74,42.12,52.04,37.55,27.79,5.16,10.18,19.25,16.0,8.53,7.69,16.150000000000002,4.71,7.88,6.23,20.86,24.09,25.12,25.26,20.75
AU45_U2,0.0,0.0,0.09,0.51,12.95,0.0,1.67,0.67,0.35,2.41,2.94,10.48,34.660000000000004,3.65,0.45,6.2700000000000005,40.45,30.54,13.68,12.26,35.37,55.09,22.92,17.05,13.16,20.49,19.07,41.1,11.66,23.78,1.37,7.33,13.72,9.16,2.32,4.79,3.41,1.19,0.0,0.22,0.0,0.27,0.26,0.0,0.03
AU01_U3,0.05,0.49,2.27,0.09,0.0,0.24,0.03,0.83,4.96,5.83,0.9700000000000001,1.6600000000000001,6.45,0.38,2.74,3.4,7.88,6.63,7.71,4.01,1.76,0.42,0.8300000000000001,0.42,0.5900000000000001,1.06,2.41,0.69,0.18,1.12,7.29,11.88,5.4399999999999995,4.07,10.73,1.8,1.22,4.13,3.25,0.46,2.25,4.71,4.69,6.69,4.4
