AU,悲伤_mean,积极_mean,中性_mean,悲伤_std,积极_std,中性_std,F_stat,p_value
AU10_r,1.7800875381135046,1.9401402109596089,0.8510154006786739,0.411923464375013,0.4350114434132099,0.31404741136250836,10058.780348224911,0.0
AU14_r,1.0554131012097963,0.6268150244404426,0.6618533020099192,0.5376759894716014,0.4908372348861168,0.3812506865874762,2475.6517375035187,0.0
AU06_r,1.8750373758237433,1.895962181631078,1.4167267032106499,0.36856119206499394,0.5362697811921596,0.2873820631791102,2189.388568245483,0.0
AU12_r,0.5449144290351134,0.5952405454077695,0.21360219263899766,0.3528272746312841,0.28452427814626813,0.17826207155607668,2024.0836174970598,0.0
AU04_r,0.6436810268515787,0.6118780550553126,0.25476115896632734,0.3756177807028047,0.4161135652084974,0.22755401369027864,1783.1818767216253,0.0
AU07_r,3.3591339628208905,3.3382904553640342,2.6891542678151916,0.6774199069685632,0.9509436622355971,0.6302574871316838,1330.3366837674464,0.0
AU25_r,0.5365983082521883,0.6688538718806277,0.23719394413991124,0.5229495268020262,0.6633176362770314,0.2462295867088112,830.0775059305175,0.0
AU15_r,0.17670846857480085,0.29986107537947,0.14673975463325506,0.29561574571705557,0.5735734925185831,0.2074741381960547,351.75958787506926,7.782139671004138e-152
AU26_r,0.4677899085275893,0.48978518137381016,0.30895327590707383,0.48727166099476577,0.6241929743371407,0.3745025771283118,179.61346290438578,2.693493260746816e-78
AU02_r,0.10008016130618667,0.10562258811422691,0.1698381623596972,0.2142778523325483,0.24456277611897775,0.39865360051427123,126.20323776008291,2.5473517466000175e-55
AU17_r,0.45513179895741124,0.5229109853357345,0.4166744975202297,0.363347129964565,0.6382076926565691,0.37209405977994414,92.25578494027968,1.119746732040145e-40
AU20_r,0.12920232123536932,0.16505273990223823,0.12205690420255809,0.22962825719611046,0.2908508689822561,0.21055506536471572,69.00603170470211,1.246323941323789e-30
AU01_r,0.2081533392347792,0.27491638795986617,0.2022265726964239,0.3491589719595162,0.700314668482838,0.4969424938211712,59.72973422234374,1.2826299332287648e-26
AU05_r,0.06980574407396478,0.05418960638024183,0.079997389715479,0.1840977205816907,0.14149757867105167,0.24016401120314712,31.18412199212259,2.951990443250353e-14
AU09_r,0.061910101308153824,0.051297916130692046,0.05372226572696424,0.11963791058078413,0.0948402608290602,0.103786219462078,28.83587366101024,3.0763318543426606e-13
AU45_r,0.24292957607947277,0.2664985850270131,0.28504829026363876,0.4362632365268111,0.4554158405135245,0.5386762602005538,17.91222912620075,1.6794908844711756e-08
AU23_r,0.1685974230353103,0.1645948031901209,0.16280866614460976,0.40279075873628034,0.33895306237925615,0.3080224555745217,0.5748338774420128,0.5628041775713828
