AU,F_value,p_value
AU04_r,3722.6178682615014,0.0
AU14_r,3349.1200093261623,0.0
AU26_r,498.8956205909428,5.619503063581846e-214
AU10_r,190.44111903481704,6.26555556555889e-83
AU01_r,184.23299303106901,2.8899100554657072e-80
AU25_r,163.83336537917083,1.666716994348879e-71
AU12_r,155.3459311483937,7.4182973746118656e-68
AU09_r,112.28358785670959,2.581166258776726e-49
AU17_r,74.80286428718252,3.906139143947846e-33
AU06_r,67.37746754290676,6.336048902079484e-30
AU45_r,60.26619827699319,7.542688069096503e-27
AU02_r,59.75502882201834,1.2550677074779244e-26
AU23_r,58.96515991495165,2.7567209699852775e-26
AU07_r,47.515283194371875,2.4886970787025823e-21
AU20_r,30.90041493344871,3.9218692365921503e-14
AU15_r,19.612879429689002,3.073439521835289e-09
AU05_r,11.01396472321171,1.6534699360708923e-05
