AU,mean,std,min,max,cv
AU12_r,0.5156895571821646,0.4893168019090331,0.12668565147881694,1.4770496298327394,0.9488592411736283
AU04_r,0.6624081431831307,0.5246252601837021,0.11280230326295584,1.5990846153846154,0.7919969969914201
AU25_r,0.5212681696503604,0.3881525505298361,0.27132739668846534,1.2900272621056732,0.7446312150427077
AU10_r,1.1572596300393365,0.8529084193782897,0.33539768185451635,2.685155134363235,0.7370069751325364
AU06_r,0.9234308214180693,0.62552142011878,0.16822342126298961,1.6444639429668222,0.6773885012395364
AU07_r,1.1377918152702864,0.6604379177598207,0.42494104716227016,2.3228949759833832,0.5804558522008101
AU14_r,0.6113379103153239,0.3219658211489364,0.23746802557953642,1.1760954208938852,0.5266577055279765
AU17_r,0.4830399158679695,0.2358229673782584,0.21904276578737014,0.8155822406854473,0.4882059631749283
AU09_r,0.06498276134682408,0.028077362441469415,0.032807753796962436,0.10335000000000001,0.43207401254643124
AU26_r,0.5112926168392656,0.1950761399536507,0.3408167524697371,0.846124886407893,0.3815352178554468
AU20_r,0.09641565495661844,0.03296698695837096,0.06822641886490807,0.15733846153846154,0.34192566521696327
AU15_r,0.14233336122580104,0.04441825219624863,0.08515653262835675,0.2145320005192782,0.31207196832640277
AU23_r,0.08503997619666116,0.02000330480285565,0.06619404476418865,0.12256538461538462,0.23522237067184196
AU05_r,0.04671129755130621,0.00694931924371468,0.04009192645883294,0.05982329205509948,0.14877170209373372
AU45_r,0.15860635887721594,0.023516119286781347,0.13398076923076924,0.19311750599520383,0.1482671908822155
AU01_r,0.11315133375932918,0.012873789416560871,0.09527846293651825,0.1337386948657298,0.11377496834410442
AU02_r,0.06869298368402899,0.007591826812664353,0.05633226659245861,0.07770641025641026,0.1105182277069942
