frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16,  0,  0.500,  0.98,  1, 0.15, 0.51, 0.57, 0.05, 0.65, 1.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.03, 0.00, 0.38, 0.00, 0.62, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.533,  0.98,  1, 0.12, 0.56, 0.67, 0.00, 0.64, 1.43, 0.00, 0.01, 0.00, 0.00, 0.00, 0.10, 0.04, 0.00, 0.40, 0.00, 0.70, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.567,  0.98,  1, 0.07, 0.46, 0.83, 0.00, 0.68, 1.66, 0.07, 0.04, 0.02, 0.00, 0.00, 0.15, 0.02, 0.00, 0.38, 0.00, 0.83, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.600,  0.98,  1, 0.05, 0.42, 1.00, 0.00, 0.74, 1.88, 0.12, 0.04, 0.05, 0.00, 0.00, 0.17, 0.02, 0.00, 0.32, 0.00, 1.18, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.633,  0.98,  1, 0.04, 0.36, 1.02, 0.00, 0.83, 2.05, 0.18, 0.05, 0.07, 0.00, 0.00, 0.19, 0.00, 0.00, 0.29, 0.00, 1.30, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.667,  0.98,  1, 0.04, 0.35, 0.97, 0.00, 0.80, 1.95, 0.14, 0.06, 0.09, 0.00, 0.00, 0.15, 0.00, 0.00, 0.30, 0.00, 1.10, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.700,  0.98,  1, 0.08, 0.35, 0.90, 0.00, 0.74, 1.81, 0.12, 0.09, 0.09, 0.00, 0.00, 0.10, 0.00, 0.00, 0.32, 0.00, 0.68, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.733,  0.98,  1, 0.10, 0.35, 0.82, 0.00, 0.69, 1.75, 0.06, 0.12, 0.09, 0.00, 0.00, 0.07, 0.00, 0.00, 0.33, 0.00, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.767,  0.98,  1, 0.15, 0.34, 0.80, 0.00, 0.66, 1.75, 0.07, 0.12, 0.06, 0.00, 0.00, 0.10, 0.00, 0.00, 0.29, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.800,  0.98,  1, 0.10, 0.22, 0.82, 0.00, 0.66, 1.66, 0.05, 0.15, 0.05, 0.00, 0.00, 0.12, 0.00, 0.00, 0.31, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.833,  0.98,  1, 0.07, 0.11, 0.93, 0.00, 0.66, 1.62, 0.04, 0.15, 0.04, 0.00, 0.01, 0.16, 0.00, 0.00, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.867,  0.98,  1, 0.08, 0.02, 0.99, 0.00, 0.67, 1.53, 0.01, 0.16, 0.09, 0.00, 0.00, 0.17, 0.00, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
