frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.11,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.32,0.0
2,0.017,0.98,0.0,0.04,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.76,0.25,0.0
3,0.033,0.98,0.0,0.01,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.72,0.24,0.0
4,0.05,0.98,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.67,0.22,0.0
5,0.067,0.98,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.61,0.23,0.0
6,0.083,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.61,0.18,0.0
7,0.1,0.98,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.65,0.16,0.0
8,0.117,0.98,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.64,0.08,0.0
9,0.133,0.98,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.66,0.02,0.0
10,0.15,0.98,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.66,0.0,0.0
11,0.167,0.98,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.68,0.0,0.0
12,0.183,0.98,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.68,0.0,0.0
13,0.2,0.98,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.7,0.02,0.0
14,0.217,0.98,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.77,0.02,0.0
15,0.233,0.98,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.74,0.02,0.0
16,0.25,0.98,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.71,0.03,0.0
17,0.267,0.98,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.65,0.03,0.0
18,0.283,0.98,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.63,0.03,0.0
19,0.3,0.98,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.17,0.63,0.0,0.0
20,0.317,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.11,0.68,0.09,0.0
21,0.333,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.04,0.76,0.17,0.0
22,0.35,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.0,0.0,0.75,0.25,0.0
23,0.367,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.09,0.0,0.0,0.74,0.2,0.0
24,0.383,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.04,0.0,0.0,0.7,0.15,0.0
25,0.4,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.72,0.07,0.0
26,0.417,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.07,0.0,0.0,0.72,0.07,0.0
27,0.433,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.14,0.0,0.07,0.63,0.11,0.0
28,0.45,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.15,0.54,0.19,0.0
29,0.467,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.17,0.0,0.24,0.42,0.17,0.0
30,0.483,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.3,0.33,0.11,0.0
31,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.2,0.0,0.35,0.29,0.06,0.0
32,0.517,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.24,0.0,0.41,0.26,0.1,0.0
33,0.533,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.36,0.32,0.1,0.0
34,0.55,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.34,0.27,0.11,0.04
35,0.567,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.28,0.25,0.12,0.04
36,0.583,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.34,0.23,0.15,0.04
37,0.6,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.36,0.24,0.14,0.0
38,0.617,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.37,0.21,0.18,0.0
39,0.633,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.31,0.13,0.13,0.0
40,0.65,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.31,0.09,0.1,0.0
41,0.667,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.11,0.0,0.27,0.1,0.01,0.0
42,0.683,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.0,0.25,0.15,0.08,0.0
43,0.7,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.23,0.26,0.09,0.0
44,0.717,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.25,0.29,0.18,0.0
45,0.733,0.98,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.24,0.39,0.19,0.01
46,0.75,0.98,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.15,0.0,0.21,0.4,0.29,0.05
47,0.767,0.98,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.2,0.0,0.19,0.49,0.35,0.05
48,0.783,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.21,0.0,0.19,0.47,0.33,0.04
49,0.8,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.18,0.0,0.23,0.39,0.25,0.0
50,0.817,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.12,0.0,0.25,0.26,0.13,0.0
51,0.833,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.13,0.0,0.29,0.19,0.13,0.0
52,0.85,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.17,0.0,0.29,0.2,0.19,0.0
53,0.867,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.23,0.0,0.31,0.26,0.27,0.0
54,0.883,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.0,0.31,0.32,0.32,0.0
55,0.9,0.98,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.33,0.39,0.4,0.0
56,0.917,0.98,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.31,0.0,0.34,0.39,0.4,0.0
57,0.933,0.98,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.34,0.0,0.39,0.41,0.39,0.0
58,0.95,0.98,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.38,0.0,0.4,0.39,0.42,0.0
59,0.967,0.98,0.0,0.0,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.4,0.0,0.4,0.43,0.52,0.0
60,0.983,0.98,0.0,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.36,0.0,0.38,0.39,0.55,0.05
61,1.0,0.98,0.0,0.0,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.22,0.0,0.35,0.33,0.47,0.05
62,1.017,0.98,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.11,0.0,0.1,0.0,0.33,0.26,0.44,0.05
63,1.033,0.98,0.0,0.0,0.03,0.13,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.03,0.0,0.31,0.22,0.49,0.07
64,1.05,0.98,0.0,0.0,0.03,0.16,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.01,0.0,0.27,0.32,0.56,0.07
65,1.067,0.98,0.0,0.0,0.03,0.16,0.0,0.0,0.0,0.02,0.0,0.14,0.0,0.0,0.0,0.23,0.37,0.63,0.09
66,1.083,0.98,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.01,0.13,0.0,0.0,0.0,0.14,0.43,0.71,0.03
67,1.1,0.98,0.0,0.0,0.04,0.29,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.01,0.0,0.06,0.41,0.68,0.12
68,1.117,0.98,0.0,0.0,0.08,0.44,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0.02,0.0,0.0,0.39,0.68,0.09
69,1.133,0.98,0.0,0.0,0.15,0.4,0.0,0.0,0.0,0.03,0.0,0.14,0.0,0.02,0.0,0.0,0.37,0.59,0.09
70,1.15,0.98,0.0,0.0,0.16,0.3,0.0,0.0,0.0,0.03,0.0,0.25,0.0,0.05,0.0,0.0,0.35,0.72,0.01
71,1.167,0.98,0.0,0.0,0.16,0.19,0.0,0.0,0.0,0.03,0.0,0.22,0.03,0.05,0.0,0.0,0.36,0.69,0.03
72,1.183,0.98,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.06,0.0,0.27,0.03,0.05,0.0,0.0,0.39,0.74,0.03
73,1.2,0.98,0.0,0.0,0.16,0.08,0.0,0.0,0.0,0.06,0.0,0.25,0.04,0.01,0.0,0.0,0.42,0.63,0.03
74,1.217,0.98,0.0,0.0,0.16,0.04,0.0,0.0,0.0,0.13,0.0,0.29,0.01,0.0,0.0,0.0,0.47,0.64,0.0
75,1.233,0.98,0.0,0.0,0.2,0.04,0.0,0.0,0.0,0.11,0.0,0.29,0.01,0.0,0.0,0.0,0.47,0.61,0.0
76,1.25,0.98,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.0,0.0,0.0,0.0,0.49,0.61,0.0
77,1.267,0.98,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.41,0.0,0.0,0.0,0.0,0.51,0.63,0.0
78,1.283,0.98,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.25,0.0,0.36,0.01,0.02,0.0,0.0,0.57,0.63,0.0
79,1.3,0.98,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.26,0.0,0.33,0.01,0.02,0.0,0.0,0.47,0.66,0.0
80,1.317,0.98,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.2,0.0,0.22,0.01,0.02,0.0,0.0,0.45,0.55,0.0
81,1.333,0.98,0.0,0.0,0.12,0.15,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.43,0.53,0.0
82,1.35,0.98,0.0,0.0,0.15,0.25,0.0,0.0,0.0,0.11,0.0,0.16,0.0,0.0,0.0,0.0,0.5,0.49,0.0
83,1.367,0.98,0.0,0.0,0.15,0.18,0.0,0.0,0.0,0.08,0.0,0.19,0.0,0.0,0.0,0.0,0.45,0.51,0.0
84,1.383,0.98,0.0,0.0,0.23,0.12,0.0,0.0,0.0,0.11,0.0,0.32,0.0,0.0,0.0,0.0,0.36,0.51,0.14
85,1.4,0.98,0.01,0.0,0.23,0.02,0.0,0.0,0.0,0.09,0.0,0.32,0.0,0.0,0.0,0.0,0.32,0.52,0.16
86,1.417,0.98,0.01,0.0,0.32,0.0,0.0,0.0,0.0,0.08,0.0,0.38,0.0,0.0,0.0,0.0,0.28,0.51,0.23
87,1.433,0.98,0.02,0.0,0.33,0.0,0.0,0.0,0.0,0.07,0.0,0.31,0.0,0.0,0.0,0.0,0.28,0.53,0.18
88,1.45,0.98,0.02,0.0,0.3,0.05,0.0,0.0,0.0,0.12,0.0,0.27,0.0,0.0,0.0,0.0,0.31,0.53,0.22
89,1.467,0.98,0.02,0.0,0.23,0.05,0.0,0.0,0.0,0.15,0.0,0.24,0.0,0.01,0.0,0.0,0.27,0.51,0.28
90,1.483,0.98,0.06,0.0,0.16,0.17,0.0,0.0,0.0,0.13,0.0,0.26,0.0,0.01,0.0,0.0,0.25,0.5,0.35
91,1.5,0.98,0.06,0.0,0.14,0.25,0.0,0.0,0.0,0.12,0.0,0.4,0.0,0.04,0.0,0.0,0.16,0.49,0.34
92,1.517,0.98,0.06,0.0,0.15,0.31,0.0,0.0,0.0,0.08,0.0,0.49,0.0,0.04,0.0,0.0,0.22,0.6,0.37
93,1.533,0.98,0.0,0.0,0.14,0.2,0.0,0.0,0.02,0.08,0.0,0.56,0.0,0.04,0.0,0.0,0.25,0.56,0.23
94,1.55,0.98,0.0,0.0,0.13,0.07,0.0,0.0,0.02,0.01,0.0,0.46,0.0,0.01,0.0,0.0,0.3,0.49,0.16
