emotion,AU,cv,mean,std
悲伤,AU01_r,0.2525396096196852,0.1420743185783658,0.03587939295076329
悲伤,AU02_r,0.282986282569018,0.08775289132274428,0.02483286450010644
悲伤,AU04_r,0.5982470081034631,0.7648881574949844,0.4575920517551449
悲伤,AU05_r,0.2979901519552168,0.059110027540308904,0.0176142060888137
悲伤,AU06_r,0.6896678626330172,0.9957854175150884,0.6867612005387577
悲伤,AU07_r,0.7217333975487886,1.4666708694121071,1.0585453496666357
悲伤,AU09_r,0.2514353148729365,0.05130863288490284,0.012900802265115452
悲伤,AU10_r,0.6775427419154834,0.9836862534920131,0.6664894813755478
悲伤,AU12_r,0.5771162667781372,0.47259744585336994,0.2727436736397797
悲伤,AU14_r,0.6330289072648988,0.6950969796418651,0.4400164814658215
悲伤,AU15_r,0.13001933150693612,0.138474800361378,0.018004400973542802
悲伤,AU17_r,0.2843499884444139,0.40657344013526997,0.11560915300426962
悲伤,AU20_r,0.1854635611085034,0.0836114729324289,0.015506881519575506
悲伤,AU23_r,0.330119877822279,0.11114653428224276,0.03669168031762372
悲伤,AU25_r,0.23506230568665504,0.4420796686516582,0.10391626621045125
悲伤,AU26_r,0.22473623409139756,0.39321786045532786,0.08837030113620706
悲伤,AU45_r,0.27575389780154247,0.19846085882928374,0.05472635538321666
积极,AU01_r,0.17358617989037478,0.13068317796685838,0.02268479363920094
积极,AU02_r,0.10731971264257038,0.06898161545167902,0.007403087147894486
积极,AU04_r,0.7770904701482786,0.5551007659569885,0.4313635151971858
积极,AU05_r,0.17599919169876435,0.04659846882290219,0.008201292847230856
积极,AU06_r,0.5954699852150676,1.1555686425764673,0.6881064425100046
积极,AU07_r,0.7738047197937926,1.2575192277567644,0.9730743136696295
积极,AU09_r,0.4469344242504291,0.052873100069878075,0.023630808538066282
积极,AU10_r,0.7324136616352311,0.9622638742734022,0.7047752076158862
积极,AU12_r,0.7255915745993151,0.698960543288693,0.5071598811876354
积极,AU14_r,0.6896202989511183,0.8740433640149227,0.6027580459882121
积极,AU15_r,0.23066216371968357,0.1031658637158252,0.023796461346702234
积极,AU17_r,0.31310175884543484,0.29675134438368156,0.09291336786627805
积极,AU20_r,0.09110262232597657,0.07358048794979694,0.006703375404251421
积极,AU23_r,0.10191720641332552,0.0755779388179397,0.007702692390801648
积极,AU25_r,0.18450722679535114,0.32392770597789156,0.05976700271216066
积极,AU26_r,0.10304271495560154,0.34474877201656057,0.03552384944619611
积极,AU45_r,0.1474291007262047,0.18645027245168241,0.027488195997707396
中性,AU01_r,0.4165387396488312,0.12917508286673707,0.05380642621134399
中性,AU02_r,0.22177014186177402,0.07380154485161447,0.01636697907136062
中性,AU04_r,0.7754583652989571,0.6553881873017064,0.508226252361228
中性,AU05_r,0.1268579102009456,0.03869155830204275,0.004908330228615191
中性,AU06_r,0.602456911203382,0.9365063809452376,0.5642047415865257
中性,AU07_r,0.8022497133508403,1.3878948932347839,1.1134382802587004
中性,AU09_r,0.11888150396250917,0.05306904374609217,0.006308927734387629
中性,AU10_r,0.9824163314028571,0.6787070594156012,0.6667728994082959
中性,AU12_r,0.8284299972717829,0.3494498509749245,0.2894947390897816
中性,AU14_r,0.9015327642456374,0.802344630922971,0.7233399729936318
中性,AU15_r,0.2560738290802307,0.11190852587056115,0.028656844726398647
中性,AU17_r,0.35778070758131586,0.4409324409798421,0.15775712072932468
中性,AU20_r,0.21581580898713776,0.0981943626789512,0.02119189581953426
中性,AU23_r,0.38421645782360203,0.12052017659114292,0.04630583534612393
中性,AU25_r,0.35533985487305114,0.3871324926341298,0.13756360374925422
中性,AU26_r,0.43802215755087703,0.40340863678553185,0.17670192145945676
中性,AU45_r,0.05035899811276741,0.19274682174895524,0.009706536832697553
